ID z_bouw Hmag ra dec
GNWV-7583915476 4.760000228881836 25.579999923706055 189.49329166666666 62.263222222222225
GNWV-7578016056 4.940000057220459 26.290000915527344 189.4908333333333 62.26822222222222
GNWV-7569715299 5.059999942779541 26.5 189.487375 62.25830555555556
GNWV-7571315437 5.119999885559082 26.139999389648438 189.48804166666665 62.26213888888889
GNWV-7524115513 4.650000095367432 27.360000610351562 189.46837499999998 62.26425
GNWV-7492415386 5.619999885559082 25.829999923706055 189.45516666666666 62.26072222222222
GNWV-8060116422 5.0 25.489999771118164 189.52504166666662 62.27838888888889
GNWV-8057116441 5.360000133514404 24.600000381469727 189.52379166666663 62.27891666666667
GNWV-8062417060 4.760000228881836 26.600000381469727 189.52599999999998 62.285
GNWV-8007816263 5.559999942779541 24.15999984741211 189.50324999999998 62.27397222222222
GNWV-8008416590 4.590000152587891 25.829999923706055 189.50349999999997 62.283055555555556
GNWV-7565116431 4.539999961853027 25.8799991607666 189.48545833333333 62.278638888888885
GNWV-7575017190 4.820000171661377 23.600000381469727 189.48958333333331 62.28861111111111
GNWV-7590117273 4.650000095367432 27.31999969482422 189.49587499999998 62.29091666666667
GNWV-7547517192 4.539999961853027 25.75 189.47812499999998 62.288666666666664
GNWV-7509917206 5.239999771118164 26.540000915527344 189.46245833333333 62.28905555555556
GNWV-7561017213 4.760000228881836 26.780000686645508 189.48375 62.289249999999996
GNWV-7497817227 5.239999771118164 25.860000610351562 189.45741666666663 62.28963888888889
GNWV-7214310272 5.300000190734863 27.8799991607666 189.33929166666664 62.17422222222222
GNWV-7321411419 4.940000057220459 26.040000915527344 189.38391666666666 62.19497222222222
GNWV-7303911510 5.360000133514404 26.459999084472656 189.376625 62.1975
GNWV-7265613542 4.650000095367432 27.34000015258789 189.36066666666665 62.231722222222224
GNWV-7483114281 5.119999885559082 26.09000015258789 189.45129166666666 62.24113888888889
GNWV-7433515017 4.650000095367432 26.559999465942383 189.430625 62.25047222222222
GNWV-7469315217 4.650000095367432 25.959999084472656 189.44554166666666 62.25602777777778
GNWV-7405315352 5.300000190734863 26.110000610351562 189.41887499999999 62.25977777777778
GNWV-7404215357 5.239999771118164 25.270000457763672 189.41841666666664 62.25991666666667
GNWV-7447415544 5.360000133514404 26.020000457763672 189.43641666666664 62.26511111111111
GNWV-7341115425 4.650000095367432 26.75 189.392125 62.261805555555554
GNWV-7464916101 5.179999828338623 27.040000915527344 189.44370833333332 62.26947222222222
GNWV-7376916060 4.699999809265137 25.989999771118164 189.40704166666666 62.26833333333333
GNWV-7281316135 5.059999942779541 27.25 189.3672083333333 62.27041666666666
GNWV-7277616136 4.940000057220459 25.639999389648438 189.36566666666667 62.27044444444444
GNWV-7289116153 5.059999942779541 26.899999618530273 189.37045833333332 62.270916666666665
GNWV-7316516170 4.650000095367432 25.899999618530273 189.38187499999998 62.271388888888886
GNWV-7302016175 5.300000190734863 26.139999389648438 189.37583333333333 62.27152777777778
GNWV-7472517047 4.760000228881836 26.8799991607666 189.446875 62.284638888888885
GNWV-7298416343 4.820000171661377 26.010000228881836 189.3743333333333 62.27619444444444
GNWV-7320416436 4.650000095367432 25.040000915527344 189.3835 62.278777777777776
GNWV-7314517085 5.059999942779541 26.690000534057617 189.38104166666665 62.285694444444445
GNWV-7319917091 5.0 26.040000915527344 189.38329166666665 62.28586111111111
GNWV-7214916582 4.880000114440918 26.200000762939453 189.33954166666666 62.28283333333333
GNWV-7438317263 5.559999942779541 25.780000686645508 189.43262499999997 62.290638888888886
GNWV-7479817390 4.940000057220459 26.020000457763672 189.44991666666667 62.29416666666666
GNWV-7410318057 4.699999809265137 25.899999618530273 189.42095833333332 62.30158333333333
GNWV-7391517348 5.179999828338623 25.739999771118164 189.41312499999998 62.293
