ID ra dec photoz Jmag
1569.0 189.20057678 62.13326263 0.9108 24.818456308636907
1618.0 189.0914917 62.13355637 0.8986 25.27199293184926
1622.0 189.0750885 62.13373947 0.853 24.463618861914387
1624.0 189.11169434 62.13385391 0.899 24.971073891006803
1628.0 189.08425903 62.13416672 0.8781 24.64379169085124
1659.0 189.16819763 62.13434601 0.9029 24.89968139554636
1664.0 189.09049988 62.13441086 0.8546 24.139756491013976
1691.0 189.1894989 62.13451767 0.9281 25.60783943984863
1751.0 189.16021729 62.13537216 0.8887 25.471347360894953
1815.0 189.19219971 62.13651657 0.8711 24.614777327463948
1855.0 189.2293396 62.13713455 0.9175 25.1008942319497
1897.0 189.17222595 62.13759232 0.7868 26.6264176204582
1902.0 189.07022095 62.13774109 0.9254 25.15235061077877
1959.0 189.05532837 62.13824463 0.8383 26.30679883289353
1974.0 189.18933105 62.13845444 0.8955 26.347567565722166
2012.0 189.04225159 62.13873672 0.9111 25.898995187546078
2040.0 189.08294678 62.1391983 0.8685 24.26394466721754
2064.0 189.17233276 62.13948441 0.8777 25.080264623436967
2086.0 189.15087891 62.13970184 0.9152 25.391419696284004
2107.0 189.17176819 62.13988876 0.7828 25.25379040042065
2111.0 189.17515564 62.14028931 0.8203 24.185800432891437
2133.0 189.05444336 62.14009476 0.9288 25.352484683200462
2136.0 189.30735779 62.1404686 0.8976 24.08235602346789
2143.0 189.19522095 62.14034653 0.8797 25.163274233945373
2219.0 189.13586426 62.14168549 0.9284 23.8690386969843
2222.0 189.06695557 62.1408844 0.8844 25.314955740344534
2228.0 189.04031372 62.14134598 0.7774 23.877654780386447
2231.0 189.1416626 62.14107513 0.8886 25.23804889693976
2242.0 189.18690491 62.14150238 0.921 23.861593357734286
2260.0 189.22079468 62.14131546 0.8707 25.50188992789049
2304.0 189.23724365 62.14192581 0.9284 25.209181025108286
2305.0 189.15377808 62.14183044 0.8689 25.607668411383113
2306.0 189.26473999 62.14198303 0.7729 24.949614920904168
2337.0 189.0489502 62.14224625 0.7898 24.647787549335334
2347.0 189.04940796 62.14212036 0.8833 26.206482365869615
2396.0 189.03323364 62.14250946 0.7791 25.259042753223323
2406.0 189.14024353 62.1427536 0.8719 24.55169513771556
2428.0 189.14649963 62.14304352 0.9177 25.156957772843235
2439.0 189.05055237 62.14303207 0.8858 26.029909291364426
2466.0 189.07441711 62.14348602 0.7914 24.278147653014283
2473.0 189.09397888 62.14322662 0.8235 25.603363578557403
2482.0 189.01803589 62.14322662 0.8833 24.69274087706669
2515.0 189.1237793 62.14389038 0.8454 24.811497611215255
