root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,15299,189.2133161,62.24986091,23.93,4.407,0,1398.3,1.7e-17,4.7e-19,36.3,3,3,3,3,3,-
congress-n-v1,15301,189.2702345,62.25001797,26.42,4.402,0,199.3,4.4e-18,3.3e-19,13.4,2,2,3,3,2.5,-
congress-n-v1,15324,189.3177627,62.2498611,26.32,4.725,0,697.2,7.2e-18,2.8e-19,25.8,3,3,3,3,3,-
congress-n-v1,15361,189.2333127,62.2501344,26.77,4.746,0,198.2,2.2e-18,1.6e-19,14,2,-1,2,2,1.25,-
congress-n-v1,15369,189.2733643,62.24985188,27.86,3.815,0,72.8,2.6e-18,3.9e-19,6.7,2,0,0,0,0.5,-
congress-n-v1,15389,189.2926366,62.24972344,24.64,4.62,0,202,5.1e-18,4.0e-19,12.5,1,2,1,1,1.25,-
congress-n-v1,15426,189.2543049,62.24962559,24.09,4.411,0,77.3,1.0e-18,1.5e-19,6.9,-1,2,3,1,1.25,-
congress-n-v1,15427,189.2544661,62.24926609,24.25,3.919,0,475.4,1.1e-17,5.2e-19,21.9,3,2,3,3,2.75,-
congress-n-v1,15502,189.2372488,62.24958903,26.73,4.403,0,688,4.9e-18,1.9e-19,26.1,3,3,3,3,3,-
congress-n-v1,15508,189.2273408,62.24955813,26.06,4.402,0,650.6,6.2e-18,2.5e-19,24.9,3,3,3,3,3,-
congress-n-v1,15513,189.2495213,62.24951544,26.19,4.401,0,268,3.2e-18,2.1e-19,15.1,3,3,3,3,3,-
congress-n-v1,15515,189.0305188,62.24944923,26.68,3.899,0.069,82.3,5.2e-18,6.6e-19,7.9,0,1,0,0,0.25,-
congress-n-v1,15526,189.2428308,62.24948328,25.97,3.851,0,76.2,2.5e-18,3.9e-19,6.6,1,1,0,1,0.75,-
congress-n-v1,15594,189.3620299,62.24915821,26.14,4.939,0.054,71.4,2.4e-18,3.6e-19,6.7,2,1,0,0,0.75,-
congress-n-v1,15635,189.2265882,62.24918349,27.32,4.401,0,192,2.7e-18,2.2e-19,12.5,3,2,3,2,2.5,-
congress-n-v1,15652,189.0723675,62.24901594,24.15,3.781,0,64.5,6.8e-18,1.2e-18,5.6,0,1,0,0,0.25,-
congress-n-v1,15661,189.2078681,62.24907548,27.77,4.308,0.04,56.5,1.0e-18,2.0e-19,5,0,1,0,0,0.25,-
congress-n-v1,15690,189.2392048,62.24902023,27.33,4.68,0,306.8,2.1e-18,1.2e-19,16.9,2,2,3,3,2.5,-
congress-n-v1,15693,189.3647073,62.24892706,26.82,4.722,0,77.2,2.1e-18,2.9e-19,7.2,0,1,0,1,0.5,-
congress-n-v1,15782,189.1563451,62.24873222,27.75,5.014,0,144.5,1.3e-18,1.3e-19,10.6,2,2,2,2,2,-
congress-n-v1,15787,189.3648558,62.24861965,26.15,4.396,0,462.1,9.3e-18,4.5e-19,20.8,3,3,3,3,3,-
congress-n-v1,15801,189.1240893,62.24868747,27.09,4.885,0,77,2.0e-18,2.8e-19,7.1,1,1,2,1,1.25,-
congress-n-v1,15863,189.2652441,62.24844656,25.99,4.154,0,78.2,2.8e-18,3.9e-19,7.2,1,1,0,1,0.75,-
congress-n-v1,15864,189.2836834,62.24840523,24.17,4.41,0,346.4,7.2e-18,4.3e-19,16.8,3,3,3,3,3,-
congress-n-v1,15905,189.0552612,62.24835133,27.23,4.434,0,87.2,2.0e-18,2.7e-19,7.6,2,2,3,2,2.25,-
congress-n-v1,15924,189.2682389,62.24835688,27.48,3.865,0.04,64.2,2.0e-18,3.4e-19,5.8,1,1,0,1,0.75,-
congress-n-v1,15982,189.0530529,62.24808404,25.81,4.433,0,219.7,6.0e-18,4.3e-19,14,3,2,3,3,2.75,-
congress-n-v1,15995,189.2226893,62.24810823,25.77,4.403,0,82.6,1.8e-18,2.5e-19,7.4,1,2,2,1,1.5,-
congress-n-v1,16008,189.3370938,62.24846274,24.26,3.992,0,300.7,1.1e-17,6.5e-19,16.4,3,3,3,3,3,-
congress-n-v1,16027,189.2581026,62.24889544,27.22,4.699,0,73.6,1.9e-18,2.9e-19,6.7,1,1,0,0,0.5,-
congress-n-v1,16066,189.2537341,62.24797683,27.94,4.722,0.05,58.3,7.4e-19,1.3e-19,5.5,1,1,0,1,0.75,-
congress-n-v1,16104,189.294243,62.24793819,24.6,3.886,0,183,8.2e-18,6.6e-19,12.4,2,1,-1,1,0.75,-
congress-n-v1,16157,189.2541906,62.24767548,27.88,4.685,0.004,63.7,8.7e-19,1.6e-19,5.6,1,1,0,0,0.5,-
congress-n-v1,16170,189.1584128,62.24760515,27.63,4.886,0,284.7,1.8e-18,1.1e-19,16.1,3,2,3,3,2.75,-
congress-n-v1,16285,189.3177471,62.24730607,27.82,4.077,0,148.3,4.2e-18,3.8e-19,11.1,3,2,3,3,2.75,-
congress-n-v1,16324,189.0970116,62.24698106,25.62,4.914,0,363.8,3.2e-18,1.7e-19,18.4,3,2,3,3,2.75,-
congress-n-v1,16336,189.0660778,62.2469704,27.36,4.042,0,99,3.1e-18,3.6e-19,8.5,2,2,3,2,2.25,-
congress-n-v1,16438,189.1548028,62.2467529,27.88,4.509,0,72.2,9.8e-19,1.5e-19,6.3,2,1,0,0,0.75,-
congress-n-v1,16446,189.0623476,62.24662597,26.93,4.207,0,167.3,4.5e-18,3.9e-19,11.6,3,2,3,3,2.75,-
congress-n-v1,16494,189.2863454,62.24652882,26.81,4.229,0,1925.1,1.5e-17,3.1e-19,50.1,-1,-1,3,3,1,-
congress-n-v1,16604,189.3335425,62.24617039,26.15,3.905,0,459.5,8.8e-18,4.1e-19,21.2,3,3,3,3,3,-
congress-n-v1,16663,189.3038018,62.24601216,26.04,4.008,0.083,61.9,3.3e-18,5.8e-19,5.7,1,1,0,0,0.5,-
congress-n-v1,16676,189.2577112,62.24603971,27.81,3.991,0.04,61.7,2.1e-18,3.9e-19,5.3,0,1,0,0,0.25,-
congress-n-v1,16720,189.0232451,62.24565549,25.14,4.15,0,588.1,9.6e-18,4.1e-19,23.6,3,2,3,3,2.75,-
congress-n-v1,16744,189.1243282,62.24587504,26.13,4.421,0,154.8,3.7e-18,3.3e-19,11.3,3,2,3,3,2.75,-
congress-n-v1,16884,189.1368424,62.24548832,27.75,4.133,0,231.7,4.8e-18,3.1e-19,15.4,-1,-1,-1,-1,-1,-
congress-n-v1,16890,189.1536098,62.24548386,26.98,4.883,0,88.1,8.0e-19,1.0e-19,7.9,1,2,3,1,1.75,-
congress-n-v1,17046,189.1672905,62.24495064,25.53,4.353,0,123.3,2.8e-18,2.9e-19,9.6,2,2,1,1,1.5,-
congress-n-v1,17238,189.1703546,62.24446855,26.8,4.413,0,118.3,1.5e-18,1.6e-19,9.1,3,2,3,3,2.75,-
congress-n-v1,17247,189.2909681,62.24420513,23.1,4.247,0.001,2410.2,3.1e-17,6.6e-19,47,3,3,3,3,3,-
congress-n-v1,17254,189.0368417,62.24432205,26.76,3.894,0,309.6,7.6e-18,4.4e-19,17.3,1,2,3,3,2.25,-
congress-n-v1,17288,189.1176477,62.24432031,26.85,4.912,0,100.7,1.8e-18,2.1e-19,8.5,1,2,1,3,1.75,-
congress-n-v1,17325,189.1359494,62.24426203,27.89,3.873,0,184.2,3.5e-18,2.7e-19,12.8,2,1,2,1,1.5,-
congress-n-v1,17368,189.2607676,62.24410926,27.76,4.935,0,63.3,1.6e-18,2.8e-19,5.9,0,1,0,1,0.5,-
congress-n-v1,17448,189.2903984,62.24385747,25.62,4.816,0.061,67.8,1.3e-18,2.0e-19,6.3,0,0,0,0,0,-
congress-n-v1,17455,189.2497435,62.24388282,26.56,4.822,0,2704.7,2.4e-17,4.5e-19,53.5,-1,-1,2,-1,-0.25,-
congress-n-v1,17465,189.2170371,62.24388936,27.12,3.988,0,66.1,2.3e-18,3.7e-19,6.3,-1,0,0,1,0,-
congress-n-v1,17475,189.1286527,62.24388268,26.7,4.91,0,71.4,1.1e-18,1.7e-19,6.5,1,0,0,0,0.25,-
congress-n-v1,17476,189.3417778,62.24378174,25.98,3.89,0.04,71.7,3.1e-18,4.8e-19,6.5,1,1,0,1,0.75,-
congress-n-v1,17480,189.0510591,62.24378342,26.06,3.983,0,196.2,5.3e-18,4.1e-19,12.9,3,2,3,3,2.75,-
congress-n-v1,17514,189.3014572,62.2437116,26.92,4.38,0,69.9,1.9e-18,3.1e-19,6.1,1,1,1,2,1.25,-
congress-n-v1,17590,189.0304423,62.24349811,27.75,4.621,0.102,45.5,6.7e-19,1.8e-19,3.6,0,0,0,0,0,-
congress-n-v1,17673,189.3010037,62.24331809,26.78,4.38,0,687.8,1.0e-17,3.9e-19,26.5,3,2,3,3,2.75,-
congress-n-v1,17682,189.0410486,62.24320746,25.35,3.885,0,98.9,5.9e-18,6.9e-19,8.5,2,2,1,1,1.5,-
congress-n-v1,17800,189.2999539,62.24301369,27.76,4.397,0,99.3,1.8e-18,2.2e-19,8.1,3,2,3,3,2.75,-
congress-n-v1,17955,189.2768981,62.24252749,26.45,4.404,0,108.8,3.4e-18,3.8e-19,9,2,2,3,2,2.25,-
congress-n-v1,17972,189.1339031,62.24243975,24,3.779,0,67.4,5.7e-18,8.5e-19,6.7,0,1,0,0,0.25,-
congress-n-v1,17991,189.1157285,62.24247026,26.9,3.976,0.04,63.5,2.1e-18,3.5e-19,5.9,1,1,0,1,0.75,-
congress-n-v1,18062,189.0293756,62.24285438,26.69,3.894,0,108.2,3.6e-18,4.0e-19,9.1,2,2,3,3,2.5,-
congress-n-v1,18147,189.1917245,62.24204031,25.34,4.771,0,311.2,3.8e-18,2.3e-19,16.7,2,2,3,3,2.5,-
congress-n-v1,18219,189.197608,62.24305636,26.88,4.463,0,395.8,4.2e-18,2.1e-19,20.3,-1,-1,-1,-1,-1,-
congress-n-v1,18239,189.0911598,62.2417186,24.36,3.91,0,608.7,1.2e-17,5.2e-19,22.8,3,3,3,3,3,-
congress-n-v1,18269,189.3016519,62.24176746,28.07,3.808,0.057,55.1,2.1e-18,3.9e-19,5.5,0,1,0,1,0.5,-
congress-n-v1,18335,189.2647209,62.24158302,24.91,4.15,0,979.4,1.5e-17,4.7e-19,31.1,3,3,3,3,3,-
congress-n-v1,18358,189.1601527,62.24155434,26.59,4.694,0.032,69.5,1.2e-18,1.9e-19,6.1,1,1,0,1,0.75,-
