root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,25584,189.2774686,62.21736712,25.93,4.404,0,164.1,4.9e-18,4.2e-19,11.6,2,2,3,3,2.5,-
congress-n-v1,25689,189.2636286,62.21679455,25.48,4.147,0,231.4,6.6e-18,4.7e-19,14,3,2,3,3,2.75,-
congress-n-v1,25797,189.2198679,62.21639558,26,3.877,0,84.3,2.9e-18,4.0e-19,7.3,2,2,1,2,1.75,-
congress-n-v1,25811,189.2917141,62.21635312,26.66,4.61,0,243.8,4.7e-18,3.2e-19,14.6,2,2,3,3,2.5,-
congress-n-v1,25858,189.2918058,62.2162158,26.38,4.623,0,105.4,3.2e-18,3.6e-19,8.9,-1,1,-1,1,0,-
congress-n-v1,25875,189.092732,62.21606612,26.43,3.858,0.045,53.7,1.7e-18,3.2e-19,5.5,0,0,0,1,0.25,-
congress-n-v1,25879,189.2816626,62.21613306,25.54,4.761,0,186.1,4.4e-18,3.4e-19,12.8,1,1,1,3,1.5,-
congress-n-v1,25886,189.2079092,62.21615329,27.81,4.021,0.088,48,1.2e-18,2.3e-19,5.1,1,0,0,1,0.5,-
congress-n-v1,25988,189.1365088,62.21574705,28.69,3.909,0.04,107.1,1.6e-18,1.7e-19,9.1,2,-1,3,3,1.75,-
congress-n-v1,26035,189.1463994,62.21550991,24.35,4.063,0,3529,2.3e-17,4.0e-19,59.1,3,3,3,3,3,-
congress-n-v1,26060,189.2162135,62.21546449,25.8,4.354,0,175.7,5.4e-18,4.2e-19,12.9,-1,-1,-1,-1,-1,-
congress-n-v1,26061,189.2161296,62.21534384,27.22,4.547,0,134.9,1.9e-18,1.9e-19,10.3,-1,-1,2,2,0.5,-
congress-n-v1,26091,189.2003909,62.2153321,26.67,3.759,0.001,74.4,8.7e-18,1.3e-18,6.9,0,0,0,0,0,-
congress-n-v1,26126,189.1292197,62.21514304,26.74,3.908,0,148.5,2.6e-18,2.4e-19,10.9,2,1,-1,3,1.25,-
congress-n-v1,26128,189.2468017,62.21509557,25.84,4.113,0,281.3,5.7e-18,3.6e-19,15.7,3,1,3,3,2.5,-
congress-n-v1,26163,189.1342528,62.21493274,25.3,3.905,0,77.1,2.8e-18,4.0e-19,7,1,2,1,1,1.25,-
congress-n-v1,26238,189.0572862,62.21459934,27.37,3.858,0,120.7,2.8e-18,2.8e-19,9.9,1,1,3,3,2,-
congress-n-v1,26306,189.265039,62.21485165,25.68,4.372,0,184.5,5.3e-18,4.1e-19,12.8,3,2,3,3,2.75,-
congress-n-v1,26348,189.2856206,62.21417276,27.6,4.321,0.066,58.4,1.7e-18,3.1e-19,5.5,-1,-1,0,0,-0.5,-
congress-n-v1,26361,189.1284891,62.21411681,26.77,5.034,0,89.2,1.8e-18,2.4e-19,7.2,1,1,0,1,0.75,-
congress-n-v1,26402,189.2102662,62.21400226,27.48,4.352,0,384.9,5.0e-18,2.6e-19,19,-1,-1,-1,-1,-1,-
congress-n-v1,26453,189.207955,62.21363258,26.4,4.213,0.001,76.3,1.7e-18,2.6e-19,6.8,1,1,0,1,0.75,-
congress-n-v1,26478,189.2623614,62.21351394,26.05,3.869,0.009,59.7,3.2e-18,6.0e-19,5.3,-1,0,0,0,-0.25,-
congress-n-v1,26544,189.1370613,62.21326813,27.05,3.909,0,96.5,2.0e-18,2.4e-19,8.3,2,2,3,3,2.5,-
congress-n-v1,26591,189.1354621,62.21303137,26.49,4.645,0,1615.3,7.7e-18,1.9e-19,40.3,3,2,3,3,2.75,-
congress-n-v1,26592,189.2525908,62.21321982,27.9,4.805,0,95.2,1.8e-18,2.1e-19,8.4,2,2,3,3,2.5,-
congress-n-v1,26619,189.144073,62.21294573,27.52,4.363,0,79,1.4e-18,2.1e-19,6.9,2,2,0,1,1.25,-
congress-n-v1,26637,189.0685221,62.21269347,24.05,4.146,0,1074.2,1.5e-17,4.6e-19,31.8,3,2,3,3,2.75,-
congress-n-v1,26712,189.1452395,62.21260043,25.34,3.907,0,156.1,5.1e-18,4.7e-19,10.9,2,2,3,3,2.5,-
congress-n-v1,26718,189.2731958,62.21255574,26.91,4.83,0,297.2,5.2e-18,3.1e-19,17,-1,-1,2,2,0.5,-
congress-n-v1,26722,189.1095996,62.21251057,27.22,4.758,0,162.1,2.4e-18,2.1e-19,11.5,2,2,3,3,2.5,-
congress-n-v1,26729,189.1942047,62.21248598,26.2,4.614,0,87.2,2.1e-18,2.8e-19,7.4,1,2,1,2,1.5,-
congress-n-v1,26734,189.2337825,62.21243576,25.04,4.019,0,119.8,5.3e-18,5.6e-19,9.4,2,2,3,2,2.25,-
congress-n-v1,26771,189.2035995,62.21231447,27.59,4.612,0,421.1,3.6e-18,1.8e-19,19.6,2,1,3,3,2.25,-
congress-n-v1,26780,189.2440099,62.21223271,27.33,4.993,0,120.6,2.5e-18,2.6e-19,9.7,2,1,3,3,2.25,-
congress-n-v1,26923,189.1826804,62.21152101,24.73,4.517,0.007,58,1.6e-18,2.7e-19,6.1,0,0,0,0,0,-
congress-n-v1,26944,189.1725279,62.21154941,27.03,4.118,0,63.8,2.6e-18,4.5e-19,5.8,1,1,0,2,1,-
congress-n-v1,26960,189.1179699,62.21134427,26.16,4.936,0,75.9,1.6e-18,2.5e-19,6.4,1,1,0,0,0.5,-
congress-n-v1,26981,189.0895595,62.21144746,26.26,3.97,0,606.8,6.9e-18,2.9e-19,24.2,3,3,3,3,3,-
congress-n-v1,26994,189.1511485,62.21132877,27.4,4.617,0,223.5,2.0e-18,1.4e-19,13.9,2,1,3,3,2.25,-
congress-n-v1,27039,189.0698559,62.21110324,27.66,3.99,0,77.7,1.2e-18,1.7e-19,6.9,1,2,1,1,1.25,-
congress-n-v1,27062,189.2373346,62.21201767,27.43,3.87,0,77,4.0e-18,4.1e-19,9.7,-1,-1,-1,-1,-1,-
congress-n-v1,27105,189.1739757,62.21069754,26.33,4.212,0,104.9,3.6e-18,4.1e-19,8.8,-1,1,1,2,0.75,-
congress-n-v1,27211,189.1698893,62.21130094,26.55,3.906,0.04,82.6,4.1e-18,5.6e-19,7.3,2,2,3,2,2.25,-
congress-n-v1,27301,189.1215096,62.21065782,26.04,5.035,0,100.4,2.2e-18,2.7e-19,8.1,1,1,0,1,0.75,-
congress-n-v1,27327,189.124269,62.21009249,26.74,4.423,0,97.7,1.6e-18,2.0e-19,8.2,-1,-1,2,2,0.5,-
congress-n-v1,27341,189.1563383,62.2099964,25.51,5.039,0,65.9,2.1e-18,3.5e-19,6.2,0,1,0,0,0.25,-
congress-n-v1,27360,189.0967399,62.20984484,25.17,4.334,0,5859.9,2.8e-17,3.3e-19,84.7,3,3,3,3,3,-
congress-n-v1,27401,189.1925415,62.20975849,26.65,3.828,0.001,93,4.0e-18,5.2e-19,7.6,1,1,1,2,1.25,-
congress-n-v1,27416,189.2656344,62.20972317,27.47,4.935,0,113.5,2.4e-18,2.6e-19,9.2,2,1,3,3,2.25,-
congress-n-v1,27496,189.2537468,62.20932642,27.57,3.926,0.104,-309.6,-1.50E-18,3.3e-19,-4.5,0,1,0,0,0.25,-
congress-n-v1,27529,189.1632616,62.20913252,26.72,4.612,0,406.5,6.0e-18,3.1e-19,19.3,3,3,3,3,3,-
congress-n-v1,27563,189.2761323,62.21415975,23.47,4.406,0,2379.6,4.4e-17,9.8e-19,45.6,3,3,3,3,3,-
congress-n-v1,27573,189.1923026,62.20959261,27.29,4.351,0,439.4,4.5e-18,2.2e-19,20.4,3,2,3,3,2.75,-
congress-n-v1,27630,189.1337472,62.20867721,27.16,4.25,0,418.6,8.8e-18,3.0e-19,29.1,-1,-1,-1,-1,-1,-
congress-n-v1,27663,189.1377637,62.20845169,25.01,3.997,0.026,61.3,1.7e-18,2.9e-19,6,0,1,0,1,0.5,-
congress-n-v1,27664,189.1378232,62.20838455,24.06,3.785,0,117.2,8.2e-18,8.6e-19,9.6,0,0,2,0,0.5,-
congress-n-v1,27710,189.1944601,62.20835378,27.08,3.85,0,164.6,5.5e-18,4.7e-19,11.7,2,2,3,3,2.5,-
congress-n-v1,27719,189.1492799,62.20828899,25.77,3.965,0,164.6,3.8e-18,3.2e-19,11.8,2,2,3,3,2.5,-
congress-n-v1,27722,189.0735589,62.20825048,27.09,4.863,0.053,57.6,7.9e-19,1.4e-19,5.7,0,1,0,0,0.25,-
congress-n-v1,27746,189.1826123,62.20826944,27.42,4.244,0.036,57.3,1.3e-18,2.4e-19,5.1,0,1,0,1,0.5,-
congress-n-v1,27769,189.2456468,62.20807929,26.84,4.537,0,280.4,6.1e-18,3.8e-19,15.9,3,1,3,3,2.5,-
congress-n-v1,27825,189.0883526,62.20774262,23.73,4.054,0,2508.2,2.7e-17,5.3e-19,49.8,3,3,3,3,3,-
congress-n-v1,27848,189.2367046,62.20770238,27.08,3.929,0,134.9,4.0e-18,3.9e-19,10.3,3,2,3,3,2.75,-
congress-n-v1,27886,189.1194443,62.20811082,25.1,4.062,0,370.3,6.9e-18,3.7e-19,18.4,3,2,3,3,2.75,-
congress-n-v1,27896,189.144331,62.20749867,24.79,3.886,0,118.3,9.2e-18,6.3e-19,14.6,-1,-1,-1,-1,-1,-
congress-n-v1,27907,189.0946188,62.20748046,27.31,4.06,0,112.4,2.6e-18,2.9e-19,9,2,2,1,2,1.75,-
congress-n-v1,27961,189.2572551,62.20720068,25.95,4.05,0.041,51.9,3.4e-18,5.8e-19,5.8,-1,-1,0,-1,-0.75,-
congress-n-v1,28031,189.0786952,62.20687117,25.3,4.616,0,296.5,4.0e-18,2.5e-19,16.1,2,-1,2,2,1.25,-
congress-n-v1,28117,189.2453981,62.20655326,24.55,4.043,0,50.8,4.2e-18,7.5e-19,5.7,-1,2,0,2,0.75,-
congress-n-v1,28118,189.2456682,62.20649114,26.33,4.05,0,139.8,3.7e-18,3.5e-19,10.7,3,2,1,3,2.25,-
congress-n-v1,28133,189.1328742,62.20641887,24.51,4.553,0,321,5.4e-18,3.2e-19,16.7,2,3,3,3,2.75,-
congress-n-v1,28207,189.1381923,62.206243,26.67,4.03,0,186.5,4.1e-18,3.1e-19,13.6,-1,-1,-1,-1,-1,-
congress-n-v1,28356,189.1236274,62.20556995,27.66,4.497,0,167.8,1.7e-18,1.5e-19,11.8,2,2,3,3,2.5,-
congress-n-v1,28395,189.2384214,62.20531295,25.6,4.054,0,118.2,4.8e-18,5.2e-19,9.2,3,2,3,3,2.75,-
congress-n-v1,28410,189.2462662,62.20530765,27.59,5.15,0.06,47.5,-7.70E-16,6.2e-15,-0.1,0,0,0,0,0,-
congress-n-v1,28438,189.114688,62.20500458,22.71,4.147,0,650.7,1.1e-17,5.0e-19,22.7,3,3,3,3,3,-
congress-n-v1,28479,189.1631221,62.20475542,26.65,3.905,0.042,61.9,2.7e-18,4.6e-19,5.8,1,1,0,0,0.5,-
congress-n-v1,28538,189.1639687,62.20448845,26.32,4.02,0.04,67,2.5e-18,4.0e-19,6.2,1,1,0,2,1,-
congress-n-v1,28560,189.2259152,62.2043698,23.82,4.02,0,97.4,1.0e-17,7.5e-19,13.5,-1,2,3,0,1,-
congress-n-v1,28633,189.2015223,62.20479954,24.5,4.902,0,150.6,4.8e-18,4.0e-19,12,2,2,3,3,2.5,-
congress-n-v1,28741,189.236798,62.20352604,27.93,4.651,0,209.8,3.3e-18,2.4e-19,13.8,3,2,3,3,2.75,-
congress-n-v1,28749,189.2333784,62.20341876,26.62,4.212,0,199.4,5.3e-18,4.1e-19,13.1,3,2,3,3,2.75,-
congress-n-v1,28784,189.2139778,62.20328473,27.68,3.872,0,159.3,3.5e-18,3.0e-19,11.8,2,2,3,2,2.25,-
congress-n-v1,28812,189.0843984,62.20311597,25.69,4.054,0,1569,1.4e-17,3.3e-19,41,3,3,3,3,3,-
congress-n-v1,28820,189.2834413,62.20302538,23.85,5.043,0.04,141.3,1.4e-17,1.2e-18,11.1,0,1,0,0,0.25,-
congress-n-v1,28837,189.1202184,62.20303021,27.89,4.146,0,75.4,1.2e-18,1.8e-19,6.5,2,1,0,1,1,-
congress-n-v1,28963,189.1499061,62.20239054,27.83,3.813,0,79.1,3.2e-18,4.2e-19,7.7,-1,-1,0,0,-0.5,-
congress-n-v1,28964,189.1497863,62.20236728,27.63,3.801,0.011,64.7,2.5e-18,4.2e-19,5.9,-1,-1,0,0,-0.5,-
congress-n-v1,28995,189.144761,62.20259235,26.68,4.146,0,214.2,6.3e-18,4.4e-19,14.2,2,1,2,2,1.75,-
congress-n-v1,29025,189.2357879,62.20201521,24.39,4.759,0.076,62.7,2.5e-18,4.5e-19,5.6,0,1,0,0,0.25,-
congress-n-v1,29062,189.2425008,62.20182586,25.33,4.654,0,302.6,7.7e-18,4.7e-19,16.4,2,2,3,3,2.5,-
congress-n-v1,29089,189.2317022,62.20174575,27.43,4.21,0,133.9,2.8e-18,2.7e-19,10.3,2,2,3,3,2.5,-
congress-n-v1,29175,189.2198097,62.20133868,25.8,4.406,0,105.2,4.0e-18,4.7e-19,8.5,2,2,3,3,2.5,-
congress-n-v1,29179,189.1533467,62.20110444,23.5,3.901,0,1741.3,2.8e-17,6.6e-19,42.4,3,3,3,3,3,-
congress-n-v1,29200,189.16886,62.20116492,26.18,4.067,0,774.2,1.1e-17,3.9e-19,28.3,-1,2,3,3,1.75,-
congress-n-v1,29231,189.1782536,62.20102757,27.78,4.246,0,68.3,1.0e-18,1.6e-19,6.2,1,1,0,1,0.75,-
congress-n-v1,29300,189.0820775,62.20067563,27.78,4.867,0,178.5,2.6e-18,2.1e-19,12.2,-1,-1,2,2,0.5,-
congress-n-v1,29306,189.1893607,62.20063402,25.77,4.851,0.065,50.7,1.5e-18,2.8e-19,5.2,1,1,0,1,0.75,-
congress-n-v1,29319,189.1384324,62.20060376,27.28,4.429,0,60,1.8e-18,3.0e-19,5.9,1,1,0,1,0.75,-
congress-n-v1,29366,189.1672013,62.20034583,26.13,4.424,0,504.3,6.7e-18,3.0e-19,22.1,3,2,3,3,2.75,-
congress-n-v1,29406,189.1206123,62.20006905,24.74,4.146,0,1649.3,1.9e-17,4.7e-19,40.8,3,2,3,3,2.75,-
congress-n-v1,29425,189.2577994,62.19997374,25.87,4.785,0.059,90.8,2.7e-18,3.3e-19,8.1,1,2,2,2,1.75,-
congress-n-v1,29439,189.23477,62.19996894,26.14,4.018,0,65.7,2.0e-18,3.2e-19,6.2,1,1,0,1,0.75,-
congress-n-v1,29445,189.1880915,62.1998838,26.63,4.334,0.001,67.1,2.4e-18,3.7e-19,6.7,-1,-1,0,-1,-0.75,-
congress-n-v1,29497,189.1736464,62.19956062,24.41,4.427,0,455.8,9.3e-18,4.4e-19,20.8,2,2,3,3,2.5,-
congress-n-v1,29535,189.2161321,62.19946463,27.68,4.02,0.04,80.1,2.5e-18,3.5e-19,7.2,2,1,3,3,2.25,-
congress-n-v1,29601,189.0944066,62.19896734,25.37,4.876,0,684,3.4e-18,1.3e-19,25.4,-1,3,3,3,2,-
congress-n-v1,29774,189.2303432,62.1980612,26.07,4.195,0,263.4,8.5e-18,5.3e-19,16.1,-1,-1,2,2,0.5,-
congress-n-v1,29782,189.2039377,62.19799761,25.89,4.423,0,1159.6,1.3e-17,3.7e-19,35,3,3,3,3,3,-
congress-n-v1,29852,189.1817592,62.19759052,26.75,4.17,0,109.7,3.7e-18,3.8e-19,9.8,1,2,1,2,1.5,-
congress-n-v1,29853,189.1816966,62.19753127,27,4.42,0.013,62.8,1.1e-18,2.0e-19,5.6,-1,1,0,0,0,-
congress-n-v1,29865,189.2039209,62.19755884,26.71,4.516,0,133.2,3.4e-18,3.2e-19,10.6,-1,-1,2,2,0.5,-
congress-n-v1,29873,189.1751326,62.19750193,26.52,4.446,0,147.3,4.1e-18,3.8e-19,10.9,-1,-1,-1,-1,-1,-
congress-n-v1,29900,189.1818121,62.19741451,27.19,4.557,0,84.9,1.4e-18,1.8e-19,7.4,-1,1,1,0,0.25,-
congress-n-v1,29906,189.2317565,62.19730212,24.79,4.447,0.002,81,4.8e-18,5.9e-19,8,2,2,2,2,2,-
congress-n-v1,29914,189.1168189,62.19732321,27.4,4.496,0,112.7,1.6e-18,1.8e-19,8.7,1,2,3,2,2,-
congress-n-v1,29929,189.171736,62.19722854,25.18,3.907,0,399.5,1.4e-17,7.4e-19,19.2,3,3,3,3,3,-
congress-n-v1,29939,189.2437777,62.19721869,28.26,4.035,0.057,30.9,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,29985,189.2445242,62.19698357,26.73,3.805,0,39.9,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,30018,189.1642676,62.19679123,26.5,3.946,0.041,28.3,2.2e-18,3.7e-19,5.9,1,1,0,0,0.5,-
congress-n-v1,30042,189.17291,62.19660593,24.09,3.978,0,250.7,1.4e-17,9.4e-19,14.9,0,-1,3,0,0.5,-
congress-n-v1,30047,189.2101132,62.19664414,26.76,3.771,0,85.9,5.0e-18,6.8e-19,7.5,1,2,1,1,1.25,-
congress-n-v1,30061,189.1654872,62.19646117,25.33,3.92,0,665.6,1.4e-17,5.3e-19,25.9,3,2,3,3,2.75,-
congress-n-v1,30105,189.236775,62.19623607,27.66,4.576,0,106.8,3.0e-18,3.3e-19,9.1,1,1,3,2,1.75,-
congress-n-v1,30146,189.1417372,62.19589465,26.16,4.144,0,368,8.0e-18,4.3e-19,18.5,3,3,3,3,3,-
congress-n-v1,30213,189.2230897,62.19722111,26.72,4.441,0.052,58.1,1.9e-18,3.6e-19,5.3,1,1,0,0,0.5,-
congress-n-v1,30255,189.1860747,62.19534803,27.05,4.424,0,263.7,4.2e-18,2.7e-19,15.6,2,3,3,3,2.75,-
congress-n-v1,30276,189.2196235,62.19517849,27.16,3.961,0,146.2,3.7e-18,3.3e-19,11.1,3,1,3,3,2.5,-
congress-n-v1,30340,189.1537135,62.19474817,26.44,4.52,0,567.4,6.2e-18,2.7e-19,23.2,3,2,3,3,2.75,-
congress-n-v1,30464,189.2277221,62.19401843,27.91,3.982,0,75.1,3.1e-18,4.2e-19,7.4,0,1,0,0,0.25,-
congress-n-v1,30471,189.1607495,62.19395023,26.69,3.766,0,185.8,6.6e-18,5.3e-19,12.4,2,2,3,0,1.75,-
congress-n-v1,30499,189.2379492,62.19385129,28.01,4.665,0,100.2,2.2e-18,2.5e-19,8.6,-1,-1,2,1,0.25,-
congress-n-v1,30522,189.2195855,62.19370134,25.02,3.9,0,758.6,2.1e-17,7.6e-19,27.6,3,3,3,3,3,-
congress-n-v1,30629,189.2216837,62.19359328,27.73,4.218,0,65.8,2.4e-18,3.6e-19,6.6,1,1,0,0,0.5,-
congress-n-v1,30642,189.211514,62.19300501,27.96,4.921,0,60.5,1.6e-18,2.7e-19,6.1,1,2,0,3,1.5,-
congress-n-v1,30655,189.1824632,62.19292326,24.92,3.926,0,138.5,4.8e-18,4.4e-19,10.8,1,-1,2,2,1,-
congress-n-v1,30682,189.2245499,62.19334932,26.65,4.678,0,78.2,2.5e-18,3.6e-19,7.1,1,1,0,1,0.75,-
congress-n-v1,30757,189.1569699,62.19243881,26.88,4.534,0,653.6,6.2e-18,2.5e-19,25,-1,-1,3,3,1,-
congress-n-v1,30761,189.2140316,62.19240768,25.71,4.038,0,247.2,9.0e-18,6.2e-19,14.6,-1,-1,2,-1,-0.25,-
congress-n-v1,30763,189.1698081,62.19241513,26.06,4.788,0,436.1,5.7e-18,2.8e-19,20.7,-1,-1,2,2,0.5,-
congress-n-v1,30764,189.1700491,62.19233477,26.98,4.8,0,325.9,4.0e-18,2.2e-19,18,-1,-1,2,2,0.5,-
congress-n-v1,30813,189.1698356,62.19222115,27.95,4.859,0,766.7,5.2e-18,1.8e-19,28.4,-1,-1,-1,2,-0.25,-
congress-n-v1,30870,189.1707919,62.19325819,27.35,4.691,0.037,53.5,1.1e-18,2.1e-19,5.3,0,1,0,0,0.25,-
congress-n-v1,31080,189.1729775,62.19055464,26.32,5.048,0,878.2,1.2e-17,4.0e-19,31,-1,-1,2,2,0.5,-
congress-n-v1,31081,189.1730379,62.19048151,26.27,5.057,0,1160.2,1.9e-17,5.4e-19,35.5,-1,-1,2,2,0.5,-
congress-n-v1,31084,189.2036932,62.19051479,25.91,4.43,0,160.9,5.9e-18,5.2e-19,11.3,3,2,3,3,2.75,-
congress-n-v1,31173,189.2020216,62.19001539,27.4,4.352,0.006,100.1,2.4e-18,2.7e-19,8.8,-1,-1,0,-1,-0.75,-
congress-n-v1,31179,189.2088118,62.18995938,27.69,4.301,0,269,5.0e-18,3.3e-19,15.3,2,1,3,3,2.25,-
congress-n-v1,31205,189.2267076,62.18966776,26.24,3.825,0,212.9,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,31220,189.1129768,62.18941868,24.21,4.151,0,2053.1,3.3e-17,7.3e-19,45.2,3,3,3,3,3,-
congress-n-v1,31300,189.2024786,62.18887647,27.63,4.229,0.003,58.1,1.2e-18,2.2e-19,5.4,1,1,0,1,0.75,-
congress-n-v1,31399,189.1761355,62.18827439,26.62,4.598,0.078,53,1.5e-18,3.0e-19,5.2,1,1,0,0,0.5,-
congress-n-v1,31442,189.1652338,62.18794719,26.14,4.942,0,342.8,4.0e-18,2.3e-19,17.6,-1,1,2,3,1.25,-
congress-n-v1,31454,189.143664,62.18790907,26.8,4.289,0,174.9,3.6e-18,2.9e-19,12.5,-1,-1,2,2,0.5,-
congress-n-v1,31480,189.2033262,62.18759442,24.04,3.905,0.04,102.1,6.9e-18,9.0e-19,7.7,-1,1,0,0,0,-
congress-n-v1,31510,189.1064373,62.18751148,25.37,3.828,0,650.5,2.2e-17,8.6e-19,25,-1,-1,2,0,0,-
congress-n-v1,31537,189.2235025,62.18767327,21.85,4.443,0.006,67.6,3.1e-18,4.8e-19,6.4,0,0,0,0,0,-
congress-n-v1,31631,189.1283059,62.18665444,28.14,3.909,0,145.1,2.5e-18,2.4e-19,10.7,-1,-1,-1,1,-0.5,-
congress-n-v1,31632,189.1283144,62.18661431,27.46,3.924,0,309.5,4.8e-18,2.8e-19,17.1,-1,-1,2,1,0.25,-
congress-n-v1,31634,189.1667548,62.18660693,25.16,4.149,0,366.5,1.0e-17,5.3e-19,19.5,3,3,3,3,3,-
congress-n-v1,31655,189.1910624,62.18637437,26.81,4.427,0,67.7,2.0e-18,3.3e-19,6,1,1,0,0,0.5,-
congress-n-v1,31697,189.1133255,62.1860308,26.35,4.118,0.044,58.9,3.3e-18,6.3e-19,5.2,0,1,0,0,0.25,-
congress-n-v1,31715,189.2041759,62.18587295,25.57,4.228,0,99.1,3.9e-18,4.8e-19,8.3,0,2,0,1,0.75,-
congress-n-v1,31750,189.2118862,62.18565173,26.92,4.4,0,103.2,2.2e-18,2.6e-19,8.5,2,2,3,1,2,-
congress-n-v1,31764,189.2155911,62.1864029,26.3,4.711,0.059,318.6,6.1e-18,3.6e-19,17,2,2,3,3,2.5,-
congress-n-v1,31774,189.165779,62.18549366,27.65,4.866,0,226.1,2.8e-18,1.9e-19,14.2,1,1,0,3,1.25,-
congress-n-v1,31833,189.184222,62.18507412,26.71,4.425,0,209.7,6.2e-18,4.7e-19,13.2,2,2,3,3,2.5,-
congress-n-v1,31842,189.1257965,62.18498443,25.59,4.692,0,1055.5,8.9e-18,2.8e-19,32,3,3,3,3,3,-
congress-n-v1,31855,189.2158124,62.18647867,25.24,4.627,0.053,60.2,1.6e-18,2.9e-19,5.5,0,1,0,0,0.25,-
congress-n-v1,31878,189.1795658,62.18471008,25.68,4.131,0,354.3,8.2e-18,4.5e-19,18.1,3,3,3,3,3,-
congress-n-v1,31899,189.1478898,62.18453421,26.31,5.051,0.155,163.7,4.3e-18,3.5e-19,12.1,2,2,1,2,1.75,-
congress-n-v1,31964,189.163482,62.1839617,26.17,4.249,0,258.8,6.3e-18,4.2e-19,15,3,2,3,3,2.75,-
congress-n-v1,31974,189.1669196,62.18381361,25.71,4.197,0,184.2,6.8e-18,5.5e-19,12.4,1,-1,2,2,1,-
congress-n-v1,31985,189.2173457,62.18376904,27.23,4.669,0.062,55.4,1.2e-18,2.2e-19,5.3,-1,1,0,1,0.25,-
congress-n-v1,32030,189.1977072,62.18338735,25.64,3.733,0,147.8,0.0e+00,0.0e+00,-99,0,-1,0,0,-0.25,-
congress-n-v1,32050,189.1255476,62.18321403,25.73,4.196,0,107.6,4.1e-18,4.7e-19,8.7,-1,1,0,-1,-0.25,-
congress-n-v1,32058,189.1319645,62.18323067,26.66,4.617,0,183.7,3.4e-18,2.8e-19,12.3,1,2,3,2,2,-
congress-n-v1,32080,189.1870426,62.18309941,27.14,4.519,0,421.4,6.6e-18,3.3e-19,20.1,1,-1,3,3,1.5,-
congress-n-v1,32106,189.2203834,62.1828509,26.57,4.521,0,79.4,3.6e-18,4.9e-19,7.2,1,2,0,1,1,-
congress-n-v1,32143,189.1873976,62.18256713,27.93,4.489,0,442.2,6.9e-18,3.2e-19,21.4,-1,-1,2,3,0.75,-
congress-n-v1,32199,189.167307,62.18221065,26.46,4.41,0,102.9,3.6e-18,4.2e-19,8.4,2,2,3,3,2.5,-
congress-n-v1,32227,189.2138229,62.18176827,23.62,3.994,0,636.6,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,32236,189.1946605,62.1816103,27.15,4.889,0,66.1,1.6e-18,2.6e-19,6.4,0,1,0,1,0.5,-
congress-n-v1,32288,189.1917435,62.1813393,26.45,4.133,0,71.1,3.9e-18,5.5e-19,7,1,1,0,1,0.75,-
congress-n-v1,32345,189.1707338,62.18075941,26.02,4.425,0,129.9,4.7e-18,4.8e-19,9.8,1,2,3,2,2,-
congress-n-v1,32373,189.206337,62.18063022,27.84,4.523,0,133.7,4.1e-18,3.9e-19,10.5,2,2,3,2,2.25,-
congress-n-v1,32453,189.1548576,62.17984898,25.62,4.39,0,276.8,8.5e-18,5.4e-19,15.7,3,2,3,3,2.75,-
congress-n-v1,32518,189.2073257,62.17918452,26.03,4.57,0.059,58.6,2.0e-18,3.4e-19,5.8,0,1,0,0,0.25,-
congress-n-v1,32530,189.2045434,62.17912992,26.1,4.677,0,394.5,7.3e-18,3.8e-19,19.4,2,2,3,3,2.5,-
congress-n-v1,32536,189.1921879,62.17909836,27.78,4.447,0,59.3,1.4e-18,2.2e-19,6.4,2,2,0,1,1.25,-
congress-n-v1,32572,189.1685973,62.17866624,24.69,3.73,0,69.9,2.3e-17,3.9e-18,5.9,0,1,0,0,0.25,-
congress-n-v1,32620,189.1812014,62.17808898,26.67,3.74,0.016,65.4,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,32680,189.1974016,62.1772422,25.05,3.888,0.061,51,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,32792,189.1857029,62.17551763,26.68,4.153,0.043,58.7,3.1e-18,5.5e-19,5.6,-1,1,0,1,0.25,-
congress-n-v1,32794,189.1858605,62.17553928,26.02,4.172,0.049,56.4,3.3e-18,6.4e-19,5.2,-1,1,0,1,0.25,-
congress-n-v1,32820,189.171532,62.17526471,27.34,3.901,0,89.1,2.9e-18,3.7e-19,7.9,2,2,0,1,1.25,-
congress-n-v1,32877,189.1469767,62.17420601,25.82,3.824,0,61,1.9e-18,3.4e-19,5.6,0,1,0,1,0.5,-
congress-n-v1,32901,189.194366,62.17395568,27.95,4.936,0.059,64.5,1.3e-18,2.0e-19,6.2,1,0,0,0,0.25,-
congress-n-v1,32954,189.1685782,62.17287002,27.01,4.842,0,198.1,3.6e-18,2.8e-19,13.2,3,3,3,3,3,-
congress-n-v1,33004,189.1472299,62.17182855,27.62,3.744,0.118,54.8,6.7e-18,1.3e-18,5.2,0,1,0,0,0.25,-
