slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
143,684,3DHST_12276,189.09108,62.203178,0,0,0.0010000000474974513,324,2000,TARGET,7694.703581751723,10217.305656822331,A
127,599,3DHST_15013,189.009262,62.2159,0,0,0.0010000000474974513,232.9998779296875,2000,TARGET,7407.420891235682,9930.150676859754,A
20,94,z7_GNW_17001,189.032486,62.216415,0,0,0.0010000000474974513,3,2000,TARGET,7480.930734866057,10003.627635871178,A
309,1350,3DHST_13666,189.099976,62.210045,0,0,0.0010000000474974513,1019,2000,TARGET,7709.7746523072055,10232.369616737038,A
115,541,3DHST_16809,188.995056,62.225098,0,0,0.0010000000474974513,170.9998779296875,2000,TARGET,7343.951715685329,9866.7093881409,A
97,467,3DHST_17741,188.985199,62.22953,0,0,0.0010000000474974513,88.9998779296875,2000,TARGET,7303.745036506677,9826.520465644753,A
112,531,3DHST_18191,188.990479,62.231667,0,0,0.0010000000474974513,160,2000,TARGET,7316.598986306628,9839.368585964108,A
34,209,z5_GND_29491,189.104431,62.220345,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7704.126362644518,10226.72340239519,A
35,217,z5_GND_28693,189.106339,62.222816,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7705.504700675945,10228.101037630828,A
36,218,z5_GND_27819,189.110336,62.225437,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7713.31623777407,10235.909005356076,A
125,589,3DHST_20146,189.012695,62.241318,0,0,0.0010000000474974513,222.9998779296875,2000,TARGET,7369.595443679151,9892.341076070694,A
16,67,z6_GND_22789,189.057785,62.239265,0,0,0.0010000000474974513,3,2000,TARGET,7518.3541179793365,10041.033471254035,A
39,229,z5_GND_21153,189.049622,62.244038,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7483.142383415192,10005.83733814586,A
52,279,z8_GND_23069,189.109497,62.238792,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7685.340256279944,10207.945196057666,A
15,66,z6_GND_22665,189.119446,62.239944,0,0,0.0010000000474974513,3,2000,TARGET,7715.131880563782,10237.723532662918,A
293,1304,3DHST_21222,189.081787,62.246685,0,0,0.0010000000474974513,970,2000,TARGET,7581.554081144422,10104.205157309054,A
38,228,z5_GND_21641,189.11763,62.244312,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7701.141055031959,10223.738896355651,A
263,1201,3DHST_22931,189.05928,62.254318,0,0,0.0010000000474974513,863,2000,TARGET,7495.022338326624,10017.711892176725,A
42,234,z5_GND_16723,189.060165,62.256508,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7493.819543466379,10016.509626934268,A
18,91,z7_GND_16759,189.079834,62.256454,0,0,0.0010000000474974513,3,2000,TARGET,7557.170779016366,10079.832670185602,A
40,232,z5_GND_17105,189.118622,62.255566,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7683.516130398382,10206.12180934722,A
6,21,z5_GND_15562,189.106384,62.259712,0,0,0.0010000000474974513,3,2000,TARGET,7636.568848922916,10159.195438878192,A
189,846,3DHST_24667,189.095825,62.263268,0,0,0.0010000000474974513,489,2000,TARGET,7596.114721406633,10118.759336020783,A
300,1323,3DHST_24754,189.115463,62.263763,0,0,0.0010000000474974513,990,2000,TARGET,7658.383305232227,10181.000245959378,A
44,236,z5_GND_45273,189.077911,62.273827,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7519.330315741502,10042.009229741756,A
212,949,3DHST_26126,189.125885,62.270016,0,0,0.0010000000474974513,596,2000,TARGET,7680.601283191353,10203.208474072362,A
105,499,3DHST_26919,189.111633,62.274288,0,0,0.0010000000474974513,122.9998779296875,2000,TARGET,7627.056162235424,10149.687240869318,A
238,1095,3DHST_27001,189.130722,62.274101,0,0,0.0010000000474974513,749,2000,TARGET,7688.834751258783,10211.438394620947,A
19,92,z7_GND_10568,189.13916,62.275288,0,0,0.0010000000474974513,3,2000,TARGET,7713.873165497191,10236.465730335478,A
43,235,z5_GND_10084,189.140717,62.277237,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7715.411055942664,10238.00300281554,A
322,1418,3DHST_28326,189.12619,62.28138,0,0,0.0010000000474974513,1090,2000,TARGET,7661.275306171106,10183.891422521841,A
