id_candels id_charlotte ra_candels dec_candels
8411 z6_GND_35540 189.33724146 62.20158968
30736 z6_GND_29625 189.40362969999998 62.21986353
31619 z7_GND_22525 189.37281031 62.24036638
8420 z7_GND_35507 189.30445436 62.20169062
8749 z7_GND_34860 189.22888012 62.20401131
8869 z7_GND_34730 189.225919 62.20432711
12181 z6_GND_27273 189.19756225 62.22699024
31711 z6_GND_22278 189.24083659 62.24263811
15780 z7_GND_19479 189.23941048 62.24754488
17900 z5_GND_13996 189.16216786 62.26380686
19294 z6_GND_11304 189.28265249 62.27250387
19037 z7_GND_11401 189.18657944 62.27090051
19920 z6_GND_10245 189.27745224 62.27646411
20713 z6_GND_44831 189.17513458 62.28226654
22434 z7_GND_43678 189.23520109999998 62.29559743
23265 z7_GND_42808 189.18839377 62.30304757
22961 z6_GND_7095 189.16502044 62.30018637
34404 z7_GND_41647 189.17814002 62.31063169
27297 z7_GND_41244 189.1778656 62.31171325
26330 z7_GND_5323 189.17806861 62.32431575
17213 z7_GND_15642 189.15199551 62.25964497
16732 z7_GND_16759 189.07983283 62.25646233
19736 z7_GND_10568 189.13929916 62.27515734
21273 z7_GND_8358 189.15531040000002 62.28646082
33892 z6_GND_43953 189.11707452 62.29422623
23543 z6_GND_42333 189.13995012 62.30837345
34208 z7_GNW_23360 189.35902982 62.30277731
10672 z7_GNW_17001 189.03249212 62.21641282
20283 z5_GNW_27194 189.52381576 62.27883787
19571 z5_GNW_28218 189.50324399 62.27388248
21698 z5_GNW_25408 189.4574124 62.28955206
7766 z5_GND_36668 189.37541829 62.19723208
31661 z5_GNW_32760 189.45126516 62.24103703
17269 z5_GNW_30244 189.41841366 62.25984241
17269 z5_GNW_30237 189.41841366 62.25984241
32733 z5_GNW_29609 189.43641187 62.26503835
19145 z5_GNW_28602 189.37587122 62.271438100000005
33565 z5_GNW_26081 189.38104208 62.28563666
21811 z5_GNW_25250 189.43258443 62.29057483
22140 z5_GNW_24858 189.41447466 62.29318435
22915 z5_GNW_23799 189.32456271 62.29973367
23358 z5_GNW_23086 189.45109412 62.30370813
26653 z5_GNW_20906 189.43768105 62.31814972
34343 z5_GNW_22490 189.39484673 62.30805913
34555 z5_GNW_21283 189.40355941 62.31568844
27252 z5_GNW_22097 189.36461163 62.310838600000004
27481 z5_GNW_22312 189.33969517 62.30903655
27195 z5_GNW_21750 189.31709402 62.31304772
34697 z5_GNW_23042 189.41507038 62.33351928
34640 z5_GNW_23548 189.41577902 62.33405082
26513 z6_GNW_20715 189.33987732 62.31998635
25668 z5_GNW_21219 189.31013526 62.33025771
25346 z5_GNW_28199 189.38312175 62.33893584
34646 z5_GNW_28803 189.31180249 62.33743584
35245 z5_GNW_18766 189.34520911 62.36217673
27844 z5_GNW_2919 189.20349378 62.12239451
787 z5_GNW_3424 189.20853309 62.126212800000005
27884 z5_GNW_3433 189.20548864 62.12629483
2181 z5_GNW_7098 189.21415998 62.14904834
28039 z5_GNW_5021 189.18172180000002 62.13776124
28557 z6_GNW_8973 189.16779165 62.16020319
3223 z5_GNW_9029 189.1699235 62.16048411
8621 z5_GND_35084 189.27860432 62.20321982
23759 z5_GNW_22583 189.29885932 62.30756147
24385 z5_GNW_19038 189.29095622 62.35314412
24625 z5_GNW_32117 189.25725324 62.35358261
286 z5_GNW_1503 189.13930339 62.11122977
27707 z5_GNW_1663 189.1475485 62.11251066
27800 z5_GNW_2438 189.10653295 62.11848305
27968 z5_GNW_4337 189.07398464 62.13291048
28331 z5_GNW_7248 189.08887622 62.15074036
28215 z5_GNW_6540 189.02302423 62.14607007
28472 z5_GNW_8402 189.13205745 62.15661628
28586 z5_GNW_9175 189.05415829 62.16129434
3581 z5_GNW_9696 189.03180633 62.16421443
4221 z5_GNW_10657 189.13013145 62.17056902
3995 z5_GNW_10304 189.11217339 62.16839513
4469 z5_GNW_11014 189.07307319999998 62.17288346
4541 z5_GNW_11120 189.05066693 62.17357404
28966 z5_GNW_11226 189.04804054 62.17422814
29073 z5_GNW_11701 189.05540919 62.17749836
29441 z5_GNW_13381 189.1038281 62.18805196
6480 z5_GNW_13431 189.10589856 62.18883214
5646 z5_GNW_12482 189.07925589 62.18287272
6361 z5_GNW_13254 189.03970288 62.18773202
15080 z5_GND_20529 189.12576412 62.24591309
33129 z5_GND_45250 189.06427419 62.27430728
28886 z6_GNW_10897 188.97607654 62.17189836
28925 z5_GNW_11071 188.97242449 62.173125
6553 z5_GNW_13514 188.96731087 62.18911964
29732 z6_GNW_14534 188.98596354 62.195345999999994
30374 z5_GNW_16472 188.95171785 62.21113863
29728 z5_GND_37205 189.35575628 62.19546565
30659 z5_GND_30288 189.42546091 62.21798015
30651 z6_GND_30340 189.38890585 62.21783963
9884 z5_GND_32413 189.35785413 62.21144533
9834 z5_GND_32576 189.30576444 62.21089903
11526 z5_GND_28819 189.36534650000002 62.22234897
11707 z5_GND_28426 189.32225916 62.22369468
30866 z5_GND_28421 189.32157093 62.22376514
12927 z5_GND_25573 189.32824797 62.23187299
13240 z5_GND_24948 189.32031105 62.23344178
11458 z5_GND_28981 189.31077066 62.22193445
15845 z5_GND_18617 189.35344085 62.25077009
14912 z5_GND_20890 189.34076676 62.24483758
13679 z5_GND_23860 189.31438453 62.23646055
16899 z5_GND_16389 189.36029317 62.25755626
17488 z5_GND_15025 189.32446191 62.26132222
18292 z6_GND_13524 189.33743988 62.26607266
17174 z5_GND_15899 189.30936662 62.25920514
17897 z5_GND_14131 189.31540246 62.26382649
18504 z5_GND_14554 189.33228929 62.26747575
19411 z5_GND_11088 189.31511965 62.273218299999996
2700 z5_GND_908 189.24554154 62.15489136
3860 z5_GND_2126 189.24770267 62.16710351
