# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_coor				
# big artifact here that appears between 7700-8200A that shouldn't be there, Spencer needs to look at it 
-1.145244836293600053e-19,7.571560058593750000e+03,6.498546903337028423e+36,3.634752596141320424e+01,-1.810702563913804732e-19,6.202126862452751772e-19,9.303190293679128621e-19
9.847960479536046714e-20,7.571890136718750000e+03,5.631098226432332403e+36,3.904688854524803077e+01,1.557023155618605378e-19,6.662730129109060244e-19,9.994095193663590366e-19
7.416936015372466537e-19,7.572220214843750000e+03,4.700889756788515029e+36,4.273590951186597664e+01,1.172663227444286335e-18,7.292202849136880656e-19,1.093830427370532147e-18
1.680721836406533427e-18,7.572549804687500000e+03,3.961783820491474969e+36,4.655191994148445644e+01,2.657324654050688979e-18,7.943344300086308741e-19,1.191501645012946407e-18
1.047537402243028312e-18,7.572879882812500000e+03,3.215051614121361072e+36,5.167601428374395311e+01,1.656221097818415643e-18,8.817689453580607671e-19,1.322653418037091054e-18
6.046601457172324195e-19,7.573209960937500000e+03,2.315376024103082607e+36,6.089367968559776045e+01,9.560049008297859471e-19,1.039053736236619920e-18,1.558580604354930169e-18
8.082740002839072521e-19,7.573540039062500000e+03,2.212476425983043544e+36,6.229363277409748889e+01,1.277930935183660338e-18,1.062941707774422748e-18,1.594412561661634315e-18
8.726729261858241019e-20,7.573870117187500000e+03,3.019419870615276672e+36,5.332381707555634165e+01,1.379749600108862467e-19,9.098860776491931823e-19,1.364829116473789773e-18
-2.323626051666170083e-19,7.574200195312500000e+03,3.792610618841816827e+36,4.757884071269064208e+01,-3.673795782345897414e-19,8.118571987040026901e-19,1.217785798056003891e-18
3.577097328132920288e-19,7.574530273437500000e+03,4.301722732805321976e+36,4.467471360382086942e+01,5.655611008368704865e-19,7.623028912856106681e-19,1.143454336928416243e-18
6.155975098493899410e-21,7.574859863281250000e+03,5.239166707253046356e+36,4.048105995075737695e+01,9.732975466020646869e-21,6.907448655726635963e-19,1.036117298358995491e-18
1.043986700385134416e-19,7.575189941406250000e+03,6.006548480205680458e+36,3.780684971682764228e+01,1.650607219672857668e-19,6.451137237301368983e-19,9.676705855952053956e-19
9.434369119856262076e-20,7.575520019531250000e+03,6.093280392668475185e+36,3.753681350337789979e+01,1.491631816434885808e-19,6.405059854894389019e-19,9.607589782341584974e-19
2.442938404363682868e-19,7.575850097656250000e+03,5.667970828012079791e+36,3.891967286069892396e+01,3.862435954376840936e-19,6.641022797080328747e-19,9.961534195620493602e-19
3.843669978949030383e-19,7.576180175781250000e+03,6.033505475407781879e+36,3.772229688169977635e+01,6.077078774042425979e-19,6.436709641580004755e-19,9.655064462370006652e-19
-2.705148155994514601e-19,7.576509765625000000e+03,6.367194673591469206e+36,3.672052824413172090e+01,-4.277005707948234608e-19,6.265773765954812647e-19,9.398660648932221859e-19
5.122428883032952448e-19,7.576839843750000000e+03,6.539359922719804846e+36,3.623392354800323290e+01,8.098875295514594927e-19,6.182742418499196398e-19,9.274113627748794597e-19
2.186045615096294521e-19,7.577169921875000000e+03,6.598303689635717481e+36,3.607171858938347953e+01,3.456272645504973148e-19,6.155064723677639606e-19,9.232597085516459890e-19
3.583243217899509980e-19,7.577500000000000000e+03,6.700047120390319062e+36,3.579678767866202094e+01,5.665328038304339578e-19,6.108152139076575401e-19,9.162228208614864065e-19
4.640691638819434368e-19,7.577830078125000000e+03,6.771489018874825475e+36,3.560745179883507205e+01,7.337219066569533673e-19,6.075844984318713473e-19,9.113767476478068765e-19
2.621753284754483486e-19,7.578160156250000000e+03,6.844062949936191173e+36,3.541815927414784682e+01,4.145153284443507159e-19,6.043545227425478037e-19,9.065317841138217055e-19
6.506297152085203932e-19,7.578490234375000000e+03,6.852679469008228894e+36,3.539588497692577107e+01,1.028685619137386291e-18,6.039744473082804771e-19,9.059616709624208601e-19
