slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask
224,494,3DHST_993,189.208237,62.124138,0,0,0.001000,118.000000,2000,TARGET,7617.686027,10140.328172,B,2020A_1
142,212,3DHST_5103,189.148071,62.163979,0,0,0.001000,119.000000,2000,TARGET,7367.470397,9890.220663,B,2020A_4
225,496,3DHST_37167,189.323563,62.347630,0,0,0.001000,120.000000,2000,TARGET,7666.023402,10188.645063,B,2020A_1
105,499,3DHST_26919,189.111633,62.274288,0,0,0.001000,123.000000,2000,TARGET,7627.056162,10149.687241,A,2020A_1
75,294,3DHST_33106,189.418686,62.309624,0,0,0.001000,124.000000,2000,TARGET,7399.720784,9922.454823,B,2020A_3
106,501,3DHST_30598,189.086502,62.293606,0,0,0.001000,125.000000,2000,TARGET,7511.844867,10034.527765,A,2020A_1
108,393,3DHST_11837,189.197983,62.200714,0,0,0.001000,128.000000,2000,TARGET,7660.031500,10182.648232,A,2020A_2
160,394,3DHST_26163,189.482742,62.270096,0,0,0.001000,129.000000,2000,TARGET,7575.880822,10098.539312,B,2020A_2
110,397,3DHST_10035,189.068634,62.192200,0,0,0.001000,132.000000,2000,TARGET,7564.427902,10087.091458,A,2020A_2
146,220,3DHST_655,189.197601,62.117496,0,0,0.001000,135.000000,2000,TARGET,7046.255001,9569.150956,B,2020A_4
76,301,3DHST_7243,189.285568,62.177608,0,0,0.001000,136.000000,2000,TARGET,7691.153132,10213.759160,B,2020A_3
113,403,3DHST_8572,189.387115,62.185081,0,0,0.001000,140.000000,2000,TARGET,7618.243199,10140.879790,A,2020A_2
232,515,3DHST_2136,189.307358,62.140469,0,0,0.001000,141.000000,2000,TARGET,7321.169396,9843.940344,B,2020A_1
151,226,3DHST_31786,189.239731,62.301041,0,0,0.001000,146.000000,2000,TARGET,7676.604668,10199.215120,B,2020A_4
77,308,3DHST_10987,189.390244,62.196533,0,0,0.001000,147.000000,2000,TARGET,7363.213736,9885.963637,B,2020A_3
234,522,3DHST_20602,189.310425,62.243381,0,0,0.001000,149.000000,2000,TARGET,7495.414183,10018.103714,B,2020A_1
110,524,3DHST_2573,189.063202,62.145027,0,0,0.001000,152.000000,2000,TARGET,7724.195300,10246.789708,A,2020A_1
164,411,3DHST_24886,189.208313,62.263790,0,0,0.001000,153.000000,2000,TARGET,7708.457478,10231.052728,B,2020A_2
111,526,3DHST_34649,189.147751,62.321335,0,0,0.001000,154.000000,2000,TARGET,7661.947281,10184.565566,A,2020A_1
78,311,3DHST_20637,189.315720,62.243393,0,0,0.001000,156.000000,2000,TARGET,7658.209322,10180.826350,B,2020A_3
166,414,3DHST_23848,189.401352,62.258873,0,0,0.001000,158.000000,2000,TARGET,7677.952847,10200.562779,B,2020A_2
79,313,3DHST_11208,189.300385,62.197945,0,0,0.001000,159.000000,2000,TARGET,7661.514957,10184.132453,B,2020A_3
112,531,3DHST_18191,188.990479,62.231667,0,0,0.001000,160.000000,2000,TARGET,7316.598986,9839.368586,A,2020A_1
154,230,3DHST_1664,189.090500,62.134411,0,0,0.001000,161.000000,2000,TARGET,7413.867253,9936.601603,B,2020A_4
119,417,3DHST_3403,189.016037,62.150734,0,0,0.001000,162.000000,2000,TARGET,7256.557346,9779.360318,A,2020A_2
239,534,3DHST_1549,189.200180,62.133183,0,0,0.001000,163.000000,2000,TARGET,7658.374495,10180.997562,B,2020A_1
80,315,3DHST_30644,189.318604,62.294182,0,0,0.001000,164.000000,2000,TARGET,7707.738781,10230.334467,B,2020A_3
120,420,3DHST_8921,189.163864,62.186890,0,0,0.001000,166.000000,2000,TARGET,7551.398041,10074.063782,A,2020A_2
155,232,3DHST_34211,189.257187,62.318668,0,0,0.001000,167.000000,2000,TARGET,7704.898478,10227.497757,B,2020A_4
169,422,3DHST_28105,189.164673,62.280685,0,0,0.001000,169.000000,2000,TARGET,7605.985365,10128.627376,B,2020A_2
