ID ra dec redshift Jmag
687.0 189.12963867 62.11774063 1.9981 26.86847414858157
691.0 189.12496948 62.11790466 2.0988 25.21324320947158
698.0 189.14109802 62.1179924 2.184 26.118937885739786
712.0 189.16952515 62.11832809 2.0211 27.951288226177912
714.0 189.17147827 62.11947632 2.4887 24.137301184212834
720.0 189.10131836 62.11879349 2.1002 24.168903850210988
735.0 189.14416504 62.11889267 2.3426 27.548174058660138
737.0 189.07815552 62.11935043 1.9708 23.821074020665755
739.0 189.17428589 62.11899948 2.3756 26.996029297316205
742.0 189.16526794 62.11937714 2.0375 24.888454635440286
746.0 189.1600647 62.11920166 2.4728 25.017898509277703
754.0 189.08406067 62.11927032 2.1464 nan
764.0 189.12232971 62.1208725 2.3125 22.846477642095675
774.0 189.11555481 62.12021255 2.134 23.824856245817717
792.0 189.12034607 62.12071609 2.0914 24.00328411622952
795.0 189.0994873 62.12023163 2.1902 26.3393724440511
801.0 189.12339783 62.12073898 2.1133 24.387205812301463
804.0 189.14268494 62.12050629 2.2148 26.070233193651948
808.0 189.09671021 62.1205368 2.2581 26.623701581006156
809.0 189.08154297 62.12078476 2.2234 24.453398696465378
815.0 189.11831665 62.12068558 2.0856 25.815375056642626
827.0 189.12440491 62.12117767 1.967 24.211071163463867
829.0 189.08106995 62.12095642 2.2155 24.533244693587246
845.0 189.13938904 62.12113571 2.08 26.814085733881438
858.0 189.18249512 62.12212372 2.2302 23.27466491618082
879.0 189.19694519 62.12181473 2.0473 26.095101052015234
898.0 189.14855957 62.12264633 2.3706 24.24428093255947
907.0 189.07369995 62.12233353 2.0359 27.288827421279812
922.0 189.07662964 62.12268448 2.0626 25.012481432877838
932.0 189.09265137 62.12324142 2.319 24.141527756344114
946.0 189.19132996 62.12316513 2.4678 27.05004393676852
961.0 189.19918823 62.12425613 2.0507 23.196112318241703
977.0 189.11123657 62.12375259 2.2752 24.96980600117246
978.0 189.09202576 62.12363815 2.0949 27.857407914274525
983.0 189.11190796 62.1240387 2.1045 24.06097811938621
995.0 189.11122131 62.12410355 2.3388 25.123224000747395
1000.0 189.18074036 62.12426758 1.9798 25.763838004432575
1009.0 189.14903259 62.12440872 2.0187 26.00346139759668
1019.0 189.08056641 62.12456512 2.3995 28.463231414336736
1032.0 189.15447998 62.12485123 2.4619 27.58129386821962
1039.0 189.07157898 62.12507248 2.2539 26.929384184361886
1067.0 189.14375305 62.12558746 2.0286 25.883059752374624
1076.0 189.15538025 62.12579346 2.056 26.46023063610796
1078.0 189.18315125 62.12581635 2.0429 26.597475718479643
1081.0 189.21075439 62.12641907 2.2966 23.69121911799277
1108.0 189.20936584 62.12676239 1.9972 25.09670834755005
1117.0 189.10202026 62.12648392 2.4051 26.62447689922513
1127.0 189.21043396 62.12700653 2.2186 24.08221614205591
1128.0 189.16595459 62.12673187 2.2474 26.025656434409616
1138.0 189.20962524 62.12677765 2.3302 27.510736555166254
1142.0 189.09289551 62.12677383 2.1371 27.297081963216318
1149.0 189.10168457 62.12702942 2.0096 24.659387995634646
1159.0 189.10498047 62.12727356 2.2922 24.879672682427582
1199.0 189.09658813 62.12779617 2.2558 26.150209348831197
1212.0 189.0635376 62.12799454 2.4053 25.61571687218512
1221.0 189.09568787 62.12880325 2.0997 24.165525654172008
1227.0 189.18669128 62.12882233 1.9632 23.515234887567853
1259.0 189.1894989 62.1288681 2.497 24.835770679766824
1287.0 189.19285583 62.12921143 2.4264 24.914532198016367
1292.0 189.20501709 62.12919617 2.3606 26.10493950565713
1300.0 189.20291138 62.12932968 2.3497 26.223838555362786
1319.0 189.14746094 62.13034439 2.1395 23.863230768191215
1330.0 189.09857178 62.12976837 2.3773 27.531884837526924
