# wave_nm transmission
6.898904664538298448e+02 9.715821500000000333e-01
6.899524774647843515e+02 9.248766999999999960e-01
6.900144884757389718e+02 8.675590499999999983e-01
6.900764994866935922e+02 8.618824999999999958e-01
6.901385104976482125e+02 9.085557499999999953e-01
6.902005215086028329e+02 9.611619999999999608e-01
6.902625325195573396e+02 9.851057000000000841e-01
6.903245435305119599e+02 9.740324000000000204e-01
6.903865545414665803e+02 9.280124499999999887e-01
6.904485655524212007e+02 8.769572999999999396e-01
6.905105765633758210e+02 8.771075999999999873e-01
6.905725875743303277e+02 9.294212499999999766e-01
6.906345985852849481e+02 9.760683500000000290e-01
6.906966095962395684e+02 9.918267499999999792e-01
6.907586206071941888e+02 9.811370500000000661e-01
6.908206316181488091e+02 9.429444000000000159e-01
6.908826426291033158e+02 8.981316999999999773e-01
6.909446536400579362e+02 8.973847999999999825e-01
6.910066646510125565e+02 9.416716499999999712e-01
6.910686756619671769e+02 9.807095999999999592e-01
6.911306866729217973e+02 9.935846500000000692e-01
6.911926976838763039e+02 9.868764999999999343e-01
6.912547086948309243e+02 9.650103000000000986e-01
6.913167197057855446e+02 9.390578499999999718e-01
6.913787307167401650e+02 9.287471000000000476e-01
6.914407417276947854e+02 9.360718999999999568e-01
6.915027527386492920e+02 9.623398499999999967e-01
6.915647637496039124e+02 9.863991500000000023e-01
6.916267747605585328e+02 9.954155500000000378e-01
6.916887857715131531e+02 9.892269999999999675e-01
6.917507967824677735e+02 9.715545500000000168e-01
6.918128077934222802e+02 9.524905500000000469e-01
6.918748188043769005e+02 9.465601500000000446e-01
6.919368298153315209e+02 9.529665499999999678e-01
6.919988408262861412e+02 9.726643999999999846e-01
6.920608518372407616e+02 9.900742499999999335e-01
6.921228628481952683e+02 9.963361500000000870e-01
6.921848738591498886e+02 9.949004500000000473e-01
6.922468848701045090e+02 9.870562499999999684e-01
6.923088958810591294e+02 9.688702000000000147e-01
6.923709068920137497e+02 9.492192999999999881e-01
6.924329179029682564e+02 9.502755999999999981e-01
6.924949289139228767e+02 9.716296500000000114e-01
6.925569399248774971e+02 9.897929999999999229e-01
6.926189509358321175e+02 9.949500499999999192e-01
6.926809619467867378e+02 9.940789999999999349e-01
6.927429729577412445e+02 9.920962500000000128e-01
6.928049839686958649e+02 9.848626999999999798e-01
6.928669949796504852e+02 9.713956999999999731e-01
6.929290059906051056e+02 9.612072999999999867e-01
6.929910170015596123e+02 9.636267000000000582e-01
6.930530280125142326e+02 9.770342499999999930e-01
6.931150390234688530e+02 9.871645000000000003e-01
6.931770500344234733e+02 9.898781500000000122e-01
6.932390610453780937e+02 9.902150499999999855e-01
6.933010720563327141e+02 9.881473499999999799e-01
6.933630830672872207e+02 9.828145999999999827e-01
6.934250940782418411e+02 9.789215499999999182e-01
6.934871050891964614e+02 9.785889999999999311e-01
6.935491161001510818e+02 9.818869999999999543e-01
6.936111271111055885e+02 9.886695500000000081e-01
6.936731381220602088e+02 9.926481000000000332e-01
6.937351491330148292e+02 9.890101499999999213e-01
6.937971601439694496e+02 9.835698499999999678e-01
6.938591711549240699e+02 9.826363500000000473e-01
6.939211821658785766e+02 9.798092000000000468e-01
6.939831931768331970e+02 9.703939999999999788e-01
6.940452041877878173e+02 9.652298000000000266e-01
6.941072151987424377e+02 9.692413500000000015e-01
6.941692262096970580e+02 9.726235000000000852e-01
6.942312372206515647e+02 9.749317499999999859e-01
6.942932482316061851e+02 9.807523000000000213e-01
6.943552592425608054e+02 9.830373500000000320e-01
6.944172702535154258e+02 9.829809999999999937e-01
6.944792812644700462e+02 9.888255500000000531e-01
6.945412922754245528e+02 9.954374000000000278e-01
6.946033032863791732e+02 9.960245000000000903e-01
6.946653142973337935e+02 9.898929000000000755e-01
6.947273253082884139e+02 9.777989000000000264e-01
6.947893363192430343e+02 9.692982999999999461e-01
6.948513473301975409e+02 9.719102499999999756e-01
6.949133583411521613e+02 9.790662500000000268e-01
6.949753693521067817e+02 9.866718500000000169e-01
6.950373803630614020e+02 9.910673500000000136e-01
6.950993913740160224e+02 9.913498499999999769e-01
6.951614023849705291e+02 9.926772000000000373e-01
6.952234133959251494e+02 9.942752500000000548e-01
6.952854244068797698e+02 9.923276999999999237e-01
6.953474354178343901e+02 9.883642500000000553e-01
6.954094464287890105e+02 9.883843500000000226e-01
6.954714574397435172e+02 9.916115000000000901e-01
6.955334684506981375e+02 9.889462500000000267e-01
6.955954794616527579e+02 9.757479500000000305e-01
6.956574904726073783e+02 9.666816499999999479e-01
6.957195014835619986e+02 9.760463500000000625e-01
6.957815124945165053e+02 9.896609999999999019e-01
6.958435235054711256e+02 9.934289499999999773e-01
6.959055345164257460e+02 9.890754499999999672e-01
6.959675455273803664e+02 9.845449500000000853e-01
6.960295565383349867e+02 9.845606499999999262e-01
6.960915675492894934e+02 9.817301499999999681e-01
6.961535785602441138e+02 9.789642000000000621e-01
6.962155895711987341e+02 9.858042999999999667e-01
6.962776005821533545e+02 9.945566000000000129e-01
6.963396115931079748e+02 9.971000999999999337e-01
6.964016226040624815e+02 9.951342499999999980e-01
6.964636336150171019e+02 9.931514500000000467e-01
6.965256446259717222e+02 9.945061500000000887e-01
6.965876556369263426e+02 9.974240500000000065e-01
6.966496666478809630e+02 9.991463499999999609e-01
6.967116776588354696e+02 9.995815999999999590e-01
6.967736886697900900e+02 9.995894499999999905e-01
6.968356996807447103e+02 9.996218500000000340e-01
6.968977106916993307e+02 9.994912499999999422e-01
6.969597217026539511e+02 9.985068999999999750e-01
6.970217327136084577e+02 9.959979999999999389e-01
6.970837437245630781e+02 9.938111000000000583e-01
6.971457547355176985e+02 9.944656499999999788e-01
6.972077657464723188e+02 9.966175500000000742e-01
6.972697767574269392e+02 9.981425500000000728e-01
6.973317877683814459e+02 9.987837999999999994e-01
6.973937987793360662e+02 9.988810000000000189e-01
6.974558097902906866e+02 9.988619000000000803e-01
6.975178208012453069e+02 9.989864500000000813e-01
6.975798318121999273e+02 9.989050500000000721e-01
6.976418428231544340e+02 9.977673000000000236e-01
6.977038538341090543e+02 9.950864500000000668e-01
6.977658648450636747e+02 9.932861500000000898e-01
6.978278758560182951e+02 9.948243999999999421e-01
6.978898868669728017e+02 9.970157500000000894e-01
6.979518978779274221e+02 9.977654499999999427e-01
6.980139088888820424e+02 9.975819999999999688e-01
6.980759198998366628e+02 9.961058499999999594e-01
6.981379309107912832e+02 9.946139000000000507e-01
6.981999419217459035e+02 9.952934499999999129e-01
6.982619529327004102e+02 9.973210000000000131e-01
6.983239639436550306e+02 9.986388499999999668e-01
6.983859749546096509e+02 9.984056000000000042e-01
6.984479859655642713e+02 9.967608000000000024e-01
6.985099969765187780e+02 9.947093499999999366e-01
6.985720079874733983e+02 9.919980999999999938e-01
6.986340189984280187e+02 9.868043499999999968e-01
6.986960300093826390e+02 9.833281999999999856e-01
6.987580410203372594e+02 9.852798000000000389e-01
6.988200520312917661e+02 9.856091000000000157e-01
6.988820630422463864e+02 9.814412999999999609e-01
6.989440740532010068e+02 9.799814000000000025e-01
6.990060850641556272e+02 9.838803999999999883e-01
6.990680960751102475e+02 9.880174999999999930e-01
6.991301070860647542e+02 9.913227500000000303e-01
6.991921180970193745e+02 9.939387500000000930e-01
6.992541291079739949e+02 9.930648499999999990e-01
6.993161401189286153e+02 9.870820499999999331e-01
6.993781511298832356e+02 9.807907000000000153e-01
6.994401621408377423e+02 9.819254499999999775e-01
6.995021731517923627e+02 9.893179500000000015e-01
6.995641841627469830e+02 9.958564500000000042e-01
6.996261951737016034e+02 9.985283999999999827e-01
6.996882061846562237e+02 9.980931499999999845e-01
6.997502171956107304e+02 9.946604000000000001e-01
6.998122282065653508e+02 9.884554999999999314e-01
6.998742392175199711e+02 9.822850499999999929e-01
6.999362502284745915e+02 9.818584999999999674e-01
6.999982612394292119e+02 9.885830499999999077e-01
7.000602722503837185e+02 9.950569000000000219e-01
7.001222832613383389e+02 9.971166999999999669e-01
7.001842942722929592e+02 9.967143499999999712e-01
7.002463052832475796e+02 9.960643499999999317e-01
7.003083162942022000e+02 9.956774500000000749e-01
7.003703273051567066e+02 9.922609000000000012e-01
