ID z_fink ra dec
z4_GNW_18707 4.53000020980835 189.304932 62.363049
z4_GNW_21441 4.539999961853027 189.290375 62.314720
z4_GNW_31623 4.550000190734863 189.455124 62.248905
z4_GNW_7588 4.550000190734863 189.210251 62.151638
z4_GNW_23499 4.550000190734863 189.405533 62.301571
z4_GNW_906 4.550000190734863 189.134430 62.106403
z4_GNW_7275 4.550000190734863 189.114075 62.150074
z4_GNW_7785 4.579999923706055 189.182251 62.152828
z4_GNW_10480 4.590000152587891 189.117783 62.169529
z4_GNW_9988 4.590000152587891 189.173340 62.166584
z4_GNW_10966 4.599999904632568 189.028076 62.173290
z4_GNW_786 4.610000133514404 189.112808 62.105259
z4_GNW_2794 4.650000095367432 189.091263 62.121166
z4_GNW_1000 4.679999828338623 189.143768 62.107292
z5_GND_15885 4.510000228881836 189.077957 62.258888
z5_GND_24332 4.510000228881836 189.235840 62.235325
z5_GND_44370 4.510000228881836 189.232666 62.288570
z5_GND_16023 4.510000228881836 189.086334 62.258488
z5_GND_19061 4.519999980926514 189.279816 62.250240
z5_GND_36639 4.519999980926514 189.186142 62.197327
z5_GND_9309 4.519999980926514 189.081497 62.280708
z5_GND_29131 4.519999980926514 189.117249 62.221432
z5_GND_32041 4.53000020980835 189.392960 62.210503
z5_GND_14373 4.53000020980835 189.326096 62.263069
z5_GND_41493 4.53000020980835 189.236221 62.311150
z5_GND_14210 4.53000020980835 189.220612 62.263672
z5_GND_6497 4.53000020980835 189.148834 62.315426
z5_GND_5510 4.53000020980835 189.167618 62.322803
z5_GND_33782 4.53000020980835 189.352127 62.207169
z5_GND_17494 4.53000020980835 189.169357 62.254318
z5_GND_22192 4.53000020980835 189.265182 62.239319
z5_GND_12525 4.53000020980835 189.290817 62.268642
z5_GND_43135 4.53000020980835 189.141937 62.300697
z5_GND_3750 4.539999961853027 189.331467 62.177814
z5_GND_18828 4.550000190734863 189.260635 62.250889
z5_GND_36134 4.550000190734863 189.345978 62.199345
z5_GND_1228 4.550000190734863 189.236237 62.158474
z5_GND_18834 4.559999942779541 189.262405 62.250854
z5_GND_41057 4.559999942779541 189.206268 62.180645
z5_GND_28145 4.559999942779541 189.192261 62.224609
z5_GND_26790 4.559999942779541 189.312881 62.228470
z5_GND_19701 4.559999942779541 189.055252 62.248314
z5_GND_646 4.559999942779541 189.290665 62.151257
z5_GND_556 4.559999942779541 189.257019 62.149940
z5_GND_3097 4.559999942779541 189.291275 62.174179
z5_GND_25723 4.559999942779541 189.227905 62.231358
z5_GND_6579 4.559999942779541 189.203873 62.314930
z5_GND_2468 4.559999942779541 189.287811 62.169777
z5_GND_41396 4.559999942779541 189.223007 62.304337
z5_GND_24466 4.570000171661377 189.113388 62.234844
z5_GND_19072 4.570000171661377 189.263000 62.250126
z5_GND_36137 4.570000171661377 189.265701 62.199287
z5_GND_9242 4.570000171661377 189.308426 62.280998
z5_GND_17375 4.579999923706055 189.203796 62.254868
z5_GND_31947 4.579999923706055 189.201492 62.212761
z5_GND_39786 4.579999923706055 189.305008 62.185802
z5_GND_26204 4.579999923706055 189.303665 62.230110
z5_GND_8616 4.579999923706055 189.275406 62.284695
z5_GND_39642 4.590000152587891 189.191498 62.186436
z5_GND_27611 4.590000152587891 189.354568 62.226093
z5_GND_22519 4.590000152587891 189.284088 62.238827
z5_GND_19291 4.590000152587891 189.237289 62.249596
z5_GND_37566 4.590000152587891 189.269775 62.194202
z5_GND_24757 4.590000152587891 189.115341 62.234097
z5_GND_708 4.590000152587891 189.276779 62.152100
z5_GND_44919 4.590000152587891 189.272827 62.281124
z5_GND_8693 4.590000152587891 189.108887 62.284214
z5_GND_38041 4.590000152587891 189.299210 62.192570
z5_GND_23424 4.599999904632568 189.188126 62.237846
z5_GND_40042 4.599999904632568 189.345490 62.184910
z5_GND_14190 4.599999904632568 189.316818 62.263725
z5_GND_18612 4.599999904632568 189.267868 62.251423
z5_GND_37340 4.599999904632568 189.385925 62.194981
z5_GND_43117 4.599999904632568 189.121613 62.300694
z5_GND_32897 4.599999904632568 189.313965 62.210091
z5_GND_25463 4.599999904632568 189.366638 62.232174
z5_GND_14099 4.599999904632568 189.158569 62.263954
z5_GND_13742 4.599999904632568 189.342209 62.264954
z5_GND_37361 4.599999904632568 189.383972 62.194885
