index,slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask,ID,ID_Fink,ID_bino,ID_3DHST,id,zspec,z_Lya,z_fink,z_bouw,photoz,flux_Lya,EW_Lya,FWHM_kms_Lya,Hmag,Jmag,lmass,Reference
61,827,1703,z5_GNW_7098,189.21418799999998,62.149055000000004,0,0,0.0010000000474974509,5.0,2000,TARGET,7194.750742018001,9717.575441079063,B,2019,z5_GNW_7098,,,,,,,5.24,5.24,,,,,25.72,,,
62,924,1902,z8_GNW_5376,189.191101,62.139683,0,0,0.0010000000474974509,5.0,2000,TARGET,7186.058074515558,9708.887607344468,B,2019,z8_GNW_5376,,,,,,,7.7,7.84,,,,,26.33,,,
63,828,1704,z5_GNW_5021,189.181732,62.13776,0,0,0.0010000000474974509,5.0,2000,TARGET,7193.536710329963,9716.363285354051,B,2019,z5_GNW_5021,,,,,,,5.16,5.24,,,,,26.55,,,
64,837,1717,z5_GNW_8402,189.13205,62.15662,0,0,0.0010000000474974509,5.0,2000,TARGET,7400.976265621543,9923.711233504351,B,2019,z5_GNW_8402,,,,,,,5.35,5.3,,,,,26.59,,,
65,845,1725,z5_GNW_11701,189.055405,62.177502000000004,0,0,0.0010000000474974509,5.0,2000,TARGET,7674.096238265106,10196.711414821024,B,2019,z5_GNW_11701,,,,,,,5.07,5.18,,,,,26.37,,,
66,833,1712,z5_GNW_1663,189.147537,62.112506999999994,0,0,0.0010000000474974509,5.0,2000,TARGET,7116.756716125283,9639.620159932416,B,2019,z5_GNW_1663,,,,,,,5.23,5.24,,,,,26.54,,,
67,925,1906,z8_GND_41247,189.27951000000002,62.179752,0,0,0.0010000000474974509,5.0,2000,TARGET,7246.860291226784,9769.660318558674,B,2019,z8_GND_41247,,,,,,,7.67,7.08,,,,,26.94,,,
68,832,1711,z5_GNW_1503,189.139328,62.111233,0,0,0.0010000000474974509,5.0,2000,TARGET,7126.031226570359,9648.890993762356,B,2019,z5_GNW_1503,,,,,,,5.23,5.18,,,,,25.5,,,
69,250,1879,z7_GND_9252,189.069672,62.281013,0,0,0.0010000000474974509,5.0,2000,TARGET,7578.137894860804,10100.791001882337,A,2019,z7_GND_9252,,,,,,,7.21,7.16,,,,,26.29,,,
70,253,1899,z7_GND_42108,189.13443,62.307869,0,0,0.0010000000474974509,5.0,2000,TARGET,7543.394321173941,10066.062393437547,A,2019,z7_GND_42108,,,,,,,7.0,6.92,,,,,26.13,,,
71,240,1814,z5_GND_4732,189.179245,62.329845,0,0,0.0010000000474974509,5.0,2000,TARGET,7501.80751857128,10024.494933109389,A,2019,z5_GND_4732,,,,,,,5.06,5.3,,,,,26.24,,,
72,238,1812,z5_GND_6005,189.21553,62.318878000000005,0,0,0.0010000000474974509,5.0,2000,TARGET,7635.91689870369,10158.545006876117,A,2019,z5_GND_6005,,,,,,,5.2,5.24,,,,,26.55,,,
73,247,1875,z8_GNW_19912,189.252716,62.3284,0,0,0.0010000000474974509,5.0,2000,TARGET,7653.598232069996,10176.219758950423,A,2019,z8_GNW_19912,,,,,,,7.95,7.16,,,,,26.54,,,
74,246,1874,z7_GNW_19939,189.273392,62.324783,0,0,0.0010000000474974509,5.0,2000,TARGET,7715.10351629524,10237.698139269502,A,2019,z7_GNW_19939,,,,,,,7.24,7.08,,,,,25.82,,,
75,249,1877,z7_GNW_32653,189.27873200000002,62.357452,0,0,0.0010000000474974509,5.0,2000,TARGET,7537.9736609795145,10060.649099590886,A,2019,z7_GNW_32653,,,,,,,7.09,7.08,,,,,26.22,,,
76,234,1709,z5_GNW_19038,189.29097,62.353145999999995,0,0,0.0010000000474974509,5.0,2000,TARGET,7586.9946013062745,10109.648464565376,A,2019,z5_GNW_19038,,,,,,,5.15,5.12,,,,,24.94,,,
77,233,1699,z5_GNW_18766,189.345215,62.362179000000005,0,0,0.0010000000474974509,5.0,2000,TARGET,7643.981567792249,10166.613319022365,A,2019,z5_GNW_18766,,,,,,,5.22,5.24,,,,,26.35,,,
78,919,1878,z7_GNW_7284,189.03604099999998,62.149914,0,0,0.0010000000474974509,5.0,2000,TARGET,7556.195271021886,10078.865827253372,B,2019,z7_GNW_7284,,,,,,,6.91,7.08,,,,,26.34,,,
79,835,1714,z5_GNW_4337,189.073959,62.132893,0,0,0.0010000000474974509,5.0,2000,TARGET,7382.203331966381,9904.95067870982,B,2019,z5_GNW_4337,,,,,,,5.2,5.3,,,,,26.06,,,
80,236,1731,z5_GND_45250,189.06427,62.274292,0,0,0.0010000000474974509,5.0,2000,TARGET,7607.650988209975,10130.291192878974,A,2019,z5_GND_45250,,,,,,,5.39,5.36,,,,,26.24,,,
81,23,818,3DHST_16476,188.95045471,62.22373962,0,0,0.0010000000474974509,6.0,2000,TARGET,7698.929822109992,10221.53555159957,A,2019,3DHST_16476,,,,,,,,,0.7998,,,,,24.967485374960656,,
82,859,1747,z5_GND_28981,189.310776,62.221934999999995,0,0,0.0010000000474974509,5.0,2000,TARGET,7435.768484384067,9958.484840445217,B,2019,z5_GND_28981,,,,,,,5.42,5.56,,,,,25.95,,,
83,913,1855,z5_GND_37006,189.365982,62.196171,0,0,0.0010000000474974509,5.0,2000,TARGET,7179.689276300122,9702.519822550928,B,2019,z5_GND_37006,,,,,,,5.39,5.56,,,,,26.82,,,
84,425,565,3DHST_9941,189.27389526,62.19179153,0,0,0.0010000000474974509,6.0,2000,TARGET,7328.205567155586,9850.969359988625,B,2019,3DHST_9941,,,,,,,,,0.8216,,,,,24.103212215494672,,
85,389,517,3DHST_9005,189.31364441,62.18704605,0,0,0.0010000000474974509,6.0,2000,TARGET,7224.533782119748,9747.34374579693,B,2019,3DHST_9005,,,,,,,,,0.871,,,,,24.374682198057762,,
86,349,463,3DHST_7740,189.34484863,62.18025970000001,0,0,0.0010000000474974509,6.0,2000,TARGET,7125.334334522194,9648.188563265216,B,2019,3DHST_7740,,,,,,,,,0.9056,,,,,24.23200894712647,,
87,416,552,3DHST_9710,189.34005737,62.19063187,0,0,0.0010000000474974509,6.0,2000,TARGET,7195.659421143514,9718.482443146313,B,2019,3DHST_9710,,,,,,,,,0.8474,,,,,23.67671291211716,,
88,743,1137,3DHST_24577,189.30999756,62.26285934,0,0,0.0010000000474974509,6.0,2000,TARGET,7679.6748284230525,10202.283689119786,B,2019,3DHST_24577,,,,,,,,,0.8348,,,,,25.30745037157969,,
89,634,904,3DHST_18948,189.41203308,62.23537064,0,0,0.0010000000474974509,6.0,2000,TARGET,7327.988786079775,9850.755847043249,B,2019,3DHST_18948,,,,,,,,,0.8009999999999999,,,,,25.205356965242515,,
90,620,873,3DHST_17853,189.42883301,62.23045731,0,0,0.0010000000474974509,6.0,2000,TARGET,7267.844283665988,9790.638431354311,B,2019,3DHST_17853,,,,,,,,,0.8983,,,,,24.89346278852869,,
91,638,913,3DHST_19121,189.43911743,62.23639679,0,0,0.0010000000474974509,6.0,2000,TARGET,7284.748683563888,9807.536001590313,B,2019,3DHST_19121,,,,,,,,,0.8613,,,,,25.598604551881404,,
92,739,1129,3DHST_24350,189.40759277,62.2618103,0,0,0.0010000000474974509,6.0,2000,TARGET,7494.606255157542,10017.300422788308,B,2019,3DHST_24350,,,,,,,,,0.7919,,,,,25.965765345463467,,
93,655,946,3DHST_20170,189.46141052,62.24149704,0,0,0.0010000000474974509,6.0,2000,TARGET,7275.037199560118,9797.830048651855,B,2019,3DHST_20170,,,,,,,,,0.8488,,,,,25.663000426027878,,
94,688,1008,3DHST_21714,189.50109863,62.24920273,0,0,0.0010000000474974509,6.0,2000,TARGET,7250.328781280537,9773.13505313944,B,2019,3DHST_21714,,,,,,,,,0.8389,,,,,24.407838444206533,,
95,849,1737,z5_GND_37205,189.355759,62.195465000000006,0,0,0.0010000000474974509,5.0,2000,TARGET,7194.684402871516,9717.508116264444,B,2019,z5_GND_37205,,,,,,,5.39,5.3,,,,,26.76,,,
96,807,1401,3DHST_30459,189.44369507,62.29265976,0,0,0.0010000000474974509,6.0,2000,TARGET,7615.784136983739,10138.42814722855,B,2019,3DHST_30459,,,,,,,,,0.7984,,,,,25.28628597627593,,
97,918,1868,z7_GNW_23317,189.439667,62.302383,0,0,0.0010000000474974509,5.0,2000,TARGET,7681.834844846978,10204.450024100395,B,2019,z7_GNW_23317,,,,,,,7.24,7.16,,,,,26.48,,,
98,822,1683,z5_GNW_25250,189.432602,62.290581,0,0,0.0010000000474974509,5.0,2000,TARGET,7622.964195362024,10145.604275972366,B,2019,z5_GNW_25250,,,,,,,5.49,5.56,,,,,25.78,,,
99,823,1684,z5_GNW_24858,189.414474,62.29319,0,0,0.0010000000474974509,5.0,2000,TARGET,7671.1102966622375,10193.728249110192,B,2019,z5_GNW_24858,,,,,,,5.01,5.12,,,,,25.72,,,
100,819,1680,z5_GNW_29609,189.436447,62.265049,0,0,0.0010000000474974509,5.0,2000,TARGET,7461.967638759929,9984.677739690347,B,2019,z5_GNW_29609,,,,,,,5.24,5.36,,,,,26.02,,,
101,816,1677,z5_GNW_32760,189.45126299999998,62.241043000000005,0,0,0.0010000000474974509,5.0,2000,TARGET,7290.650714361797,9813.436159195377,B,2019,z5_GNW_32760,,,,,,,5.16,5.12,,,,,26.09,,,
102,818,1679,z5_GNW_30237,189.41841100000002,62.259842000000006,0,0,0.0010000000474974509,5.0,2000,TARGET,7463.182661046438,9985.891125332122,B,2019,z5_GNW_30237,,,,,,,5.13,5.24,,,,,25.27,,,
103,820,1681,z5_GNW_28602,189.37587,62.27145,0,0,0.0010000000474974509,5.0,2000,TARGET,7610.035466344452,10132.677615880271,B,2019,z5_GNW_28602,,,,,,,5.28,5.3,,,,,26.14,,,
104,850,1738,z5_GND_30288,189.425446,62.21797900000001,0,0,0.0010000000474974509,5.0,2000,TARGET,7199.300460232767,9722.12439312844,B,2019,z5_GND_30288,,,,,,,5.17,5.12,,,,,26.8,,,
105,851,1739,z6_GND_30340,189.388916,62.217833999999996,0,0,0.0010000000474974509,5.0,2000,TARGET,7265.763268193921,9788.55660492318,B,2019,z6_GND_30340,,,,,,,5.51,5.18,,,,,26.94,,,
106,854,1742,z5_GND_28819,189.365326,62.222359,0,0,0.0010000000474974509,5.0,2000,TARGET,7336.421556702509,9859.183059407369,B,2019,z5_GND_28819,,,,,,,5.13,5.3,,,,,26.51,,,
107,852,1740,z5_GND_32413,189.357834,62.211445,0,0,0.0010000000474974509,5.0,2000,TARGET,7285.533377806794,9808.317060301613,B,2019,z5_GND_32413,,,,,,,5.27,5.24,,,,,26.61,,,
108,839,1719,z5_GNW_9696,189.031815,62.164223,0,0,0.0010000000474974509,5.0,2000,TARGET,7646.112154376631,10168.741802751389,B,2019,z5_GNW_9696,,,,,,,5.27,5.3,,,,,26.12,,,
109,22,778,3DHST_15563,188.95074463,62.21890259,0,0,0.0010000000474974509,6.0,2000,TARGET,7728.533648406917,10251.126547990207,A,2019,3DHST_15563,,,,,,,,,0.9184,,,,,24.515866937732007,,
110,834,1713,z5_GNW_2438,189.10652199999998,62.118481,0,0,0.0010000000474974509,5.0,2000,TARGET,7233.898975829338,9756.711775833166,B,2019,z5_GNW_2438,,,,,,,5.43,5.3,,,,,26.34,,,
111,18,31,z6_GNW_30051,189.45521499999998,62.260631999999994,0,0,0.0010000000474974509,3.0,2000,TARGET,7401.592583305492,9924.330111158406,B,2019,z6_GNW_30051,,,,,,,5.58,5.62,,,,,25.83,,,
112,65,122,z6_GNW_3671,189.203537,62.127998,0,0,0.0010000000474974509,3.0,2000,TARGET,7093.8998804709445,9616.770575626932,B,2019,z6_GNW_3671,,,,,,,6.2,6.54,,,,,25.48,,,
113,25,50,z6_GNW_6440,189.162872,62.14583199999999,0,0,0.0010000000474974509,3.0,2000,TARGET,7277.544245387326,9800.333650574903,B,2019,z6_GNW_6440,,,,,,,6.18,6.03,,,,,26.06,,,
114,30,56,z6_GNW_6554,189.13720700000002,62.146313,0,0,0.0010000000474974509,3.0,2000,TARGET,7331.460935089294,9854.22720795644,B,2019,z6_GNW_6554,,,,,,,6.2,5.82,,,,,26.77,,,
115,33,59,z6_GNW_10421,189.089981,62.169113,0,0,0.0010000000474974509,3.0,2000,TARGET,7556.708960756123,10079.3754833127,B,2019,z6_GNW_10421,,,,,,,5.66,5.69,,,,,26.9,,,
116,34,60,z6_GNW_10970,189.075775,62.172729000000004,0,0,0.0010000000474974509,3.0,2000,TARGET,7605.885266595796,10128.530251774759,B,2019,z6_GNW_10970,,,,,,,5.59,5.69,,,,,24.26,,,
117,28,54,z6_GNW_2045,189.156693,62.11544,0,0,0.0010000000474974509,3.0,2000,TARGET,7115.139790473699,9638.00337769268,B,2019,z6_GNW_2045,,,,,,,5.89,5.96,,,,,26.26,,,
118,29,55,z6_GNW_2993,189.127197,62.122612,0,0,0.0010000000474974509,3.0,2000,TARGET,7215.6653665745725,9738.485021979775,B,2019,z6_GNW_2993,,,,,,,6.02,6.03,,,,,26.42,,,
119,27,53,z6_GNW_1169,189.13545200000002,62.108706999999995,0,0,0.0010000000474974509,3.0,2000,TARGET,7119.414251943123,9642.277317048996,B,2019,z6_GNW_1169,,,,,,,5.61,5.62,,,,,26.86,,,
120,8,48,z6_GNW_32543,189.318924,62.356548,0,0,0.0010000000474974509,3.0,2000,TARGET,7623.3210512692285,10145.960234574488,A,2019,z6_GNW_32543,,,,,,,5.86,5.96,,,,,26.16,,,
121,13,123,z6_GNW_18532,189.29298400000002,62.366489,0,0,0.0010000000474974509,3.0,2000,TARGET,7514.627397069351,10037.314436446999,A,2019,z6_GNW_18532,,,,,,,5.96,6.17,,,,,26.51,,,
122,18,144,z7_GND_5323,189.178101,62.324318000000005,0,0,0.0010000000474974509,3.0,2000,TARGET,7531.6799698788955,10054.353934432382,A,2019,z7_GND_5323,,,,,,,6.86,6.84,,,,,26.71,,,
